calc_id,taxonomy_id,calc_type,level_min,stem,formula_text,worked_solution,common_traps,difficulty_1_to_5,verification_status
calc_000014,,mg_per_kg,aemt,A 22 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000015,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000016,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000017,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000018,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000019,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000020,,mg_per_kg,aemt,A 23 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000021,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000022,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000023,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000024,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000025,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000026,,mg_per_kg,aemt,A 24 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000027,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000028,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000029,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000030,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000031,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000032,,mg_per_kg,aemt,A 25 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000033,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000034,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000035,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000036,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000037,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000038,,mg_per_kg,aemt,A 26 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000039,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000040,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000041,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000042,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000043,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000044,,mg_per_kg,aemt,A 27 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000045,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000046,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000047,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000048,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000049,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000050,,mg_per_kg,aemt,A 28 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000051,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000052,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000053,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000054,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
calc_000055,,weight_conversion,emt,Convert 44 lb child to kg.,lb / 2.2,44 / 2.2 = 20 kg,Forgetting to convert pounds to kilograms.,1,draft
calc_000056,,mg_per_kg,aemt,A 29 kg child needs 0.01 mg/kg medication. Calculate dose.,kg x mg/kg,20 x 0.01 = 0.2 mg,Decimal placement errors.,2,draft
calc_000057,,ml_dose,aemt,Medication concentration is 1 mg/mL. Ordered dose is 0.4 mg. Calculate mL.,dose / concentration,0.4 / 1 = 0.4 mL,Confusing mg and mL.,2,draft
calc_000058,,drip_rate,paramedic,Infuse 250 mL over 30 min with 10 gtt/mL tubing. Calculate gtt/min.,mL x drop factor / minutes,250 x 10 / 30 = 83 gtt/min,Rounding too early.,3,draft
calc_000059,,pump_rate,aemt,Infuse 500 mL over 2 hr. Calculate mL/hr.,mL / hours,500 / 2 = 250 mL/hr,Using minutes as hours.,2,draft
calc_000060,,concentration,paramedic,You have 100 mg in 10 mL. Find mg/mL.,mg / mL,100 / 10 = 10 mg/mL,Wrong direction division.,2,draft
