scenario_id,taxonomy_id,level,age_group,special_population_flags,setting,dispatch_information,scene_cues,safety_hazards,initial_impression,difficulty_1_to_5,terminal_outcome_type,verification_status
scn_emt_000042,,emt,school_age,pediatric,school,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,4,handover,draft
scn_emt_000043,,emt,adolescent,,long_term_care,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,4,debrief_only,draft
scn_emt_000044,,emt,adult,,industrial,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,4,refusal,draft
scn_emt_000045,,emt,neonate,pediatric,home,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,5,stabilise,draft
scn_emt_000046,,emt,infant,pediatric,public_place,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,5,stabilise,draft
scn_emt_000047,,emt,toddler,pediatric,roadway,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,5,handover,draft
scn_emt_000048,,emt,school_age,pediatric,school,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,5,handover,draft
scn_emt_000049,,emt,adolescent,,long_term_care,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,5,handover,draft
scn_emt_000050,,emt,adult,,industrial,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,5,handover,draft
scn_emt_000051,,emt,older_adult,,mass_gathering,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,stabilise,draft
scn_emt_000052,,emt,neonate,pediatric,home,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,stabilise,draft
scn_emt_000053,,emt,infant,pediatric,public_place,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,5,handover,draft
scn_emt_000054,,emt,toddler,pediatric,roadway,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,5,debrief_only,draft
scn_emt_000055,,emt,school_age,pediatric,school,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,5,refusal,draft
scn_emt_000056,,emt,adult,,industrial,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_emt_000057,,emt,older_adult,,mass_gathering,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_emt_000058,,emt,neonate,pediatric,home,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_emt_000059,,emt,infant,pediatric,public_place,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_emt_000060,,emt,toddler,pediatric,roadway,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_emt_000061,,emt,school_age,pediatric,school,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_emt_000062,,emt,adolescent,,long_term_care,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_emt_000063,,emt,adult,,industrial,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_emt_000064,,emt,older_adult,,mass_gathering,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,handover,draft
scn_emt_000065,,emt,neonate,pediatric,home,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,debrief_only,draft
scn_emt_000066,,emt,infant,pediatric,public_place,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,refusal,draft
scn_aemt_000067,,aemt,adult,,home,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_aemt_000068,,aemt,preschool,,home,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,1,stabilise,draft
scn_aemt_000069,,aemt,adult,,public_place,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_aemt_000070,,aemt,adolescent,,public_place,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,1,handover,draft
scn_aemt_000071,,aemt,adult,,roadway,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_aemt_000072,,aemt,older_adult,,home,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,1,handover,draft
scn_aemt_000073,,aemt,adult,,home,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_aemt_000074,,aemt,adolescent,,school,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,stabilise,draft
scn_aemt_000075,,aemt,adult,,home,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,1,handover,draft
scn_aemt_000076,,aemt,school_age,pediatric,roadway,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,debrief_only,draft
scn_aemt_000077,,aemt,adult,,home,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,1,refusal,draft
scn_aemt_000078,,aemt,toddler,pediatric,roadway,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,2,stabilise,draft
scn_aemt_000079,,aemt,school_age,pediatric,school,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,2,stabilise,draft
scn_aemt_000080,,aemt,adolescent,,long_term_care,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,2,handover,draft
scn_aemt_000081,,aemt,adult,,industrial,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,2,handover,draft
scn_aemt_000082,,aemt,older_adult,,mass_gathering,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,2,handover,draft
scn_aemt_000083,,aemt,neonate,pediatric,home,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,2,handover,draft
scn_aemt_000084,,aemt,infant,pediatric,public_place,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,stabilise,draft
scn_aemt_000085,,aemt,toddler,pediatric,roadway,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,stabilise,draft
scn_aemt_000086,,aemt,school_age,pediatric,school,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,2,handover,draft
scn_aemt_000087,,aemt,adolescent,,long_term_care,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,2,debrief_only,draft
scn_aemt_000088,,aemt,adult,,industrial,Agitated patient in apartment with family on scene.,Scene suggests behavioral crisis with safety concern; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,2,refusal,draft
scn_aemt_000089,,aemt,neonate,pediatric,home,Adult with increasing dyspnea after cold symptoms.,Scene suggests respiratory distress with wheezing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,3,stabilise,draft
scn_aemt_000090,,aemt,infant,pediatric,public_place,Child with barking cough and stridor at night.,Scene suggests pediatric croup-like breathing; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need airway resp vent focused assessment.,3,stabilise,draft
scn_aemt_000091,,aemt,toddler,pediatric,roadway,Adult with pressure-like chest pain and nausea.,Scene suggests chest pain with diaphoresis; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,3,handover,draft
scn_aemt_000092,,aemt,school_age,pediatric,school,"Young adult collapses after exertion, now awake but pale.",Scene suggests syncope at gym; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need cardiology resus ecg focused assessment.,3,handover,draft
scn_aemt_000093,,aemt,adolescent,,long_term_care,Driver with leg wound and windshield damage.,Scene suggests motor vehicle crash with bleeding; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,3,handover,draft
scn_aemt_000094,,aemt,adult,,industrial,Older adult fell from ladder with hip pain.,Scene suggests fall from height; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need trauma focused assessment.,3,handover,draft
scn_aemt_000095,,aemt,older_adult,,mass_gathering,Confused patient with diaphoresis and slurred speech.,Scene suggests altered mental status diabetic; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,stabilise,draft
scn_aemt_000096,,aemt,neonate,pediatric,home,Patient continues generalized seizure activity on arrival.,Scene suggests active seizure; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,stabilise,draft
scn_aemt_000097,,aemt,infant,pediatric,public_place,Pregnant patient with crowning and contractions.,Scene suggests imminent delivery; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need medical ob special focused assessment.,3,handover,draft
scn_aemt_000098,,aemt,toddler,pediatric,roadway,Multiple patients after low-speed bus collision.,Scene suggests mci school bus incident; bystanders are anxious; environment requires active safety scan.,"Traffic, crowding, sharps, pets, violence, weather, or infection risk depending setting.",Patient appears to need operations safety doc focused assessment.,3,debrief_only,draft
