objective_id,lesson_id,bloom_level,objective_text,priority_rank,assessed_by
obj_000091,les_emt_000046,apply,Apply a structured EMS assessment and management plan for stemi recognition at the EMT level.,1,scenario/question
obj_000092,les_emt_000046,analyse,Identify red flags and common pitfalls in stemi recognition scenarios.,2,question/debrief
obj_000093,les_emt_000047,apply,Apply a structured EMS assessment and management plan for post rosc at the EMT level.,1,scenario/question
obj_000094,les_emt_000047,analyse,Identify red flags and common pitfalls in post rosc scenarios.,2,question/debrief
obj_000095,les_emt_000048,apply,Apply a structured EMS assessment and management plan for post rosc at the EMT level.,1,scenario/question
obj_000096,les_emt_000048,analyse,Identify red flags and common pitfalls in post rosc scenarios.,2,question/debrief
obj_000097,les_emt_000049,apply,Apply a structured EMS assessment and management plan for bleeding control at the EMT level.,1,scenario/question
obj_000098,les_emt_000049,analyse,Identify red flags and common pitfalls in bleeding control scenarios.,2,question/debrief
obj_000099,les_emt_000050,apply,Apply a structured EMS assessment and management plan for bleeding control at the EMT level.,1,scenario/question
obj_000100,les_emt_000050,analyse,Identify red flags and common pitfalls in bleeding control scenarios.,2,question/debrief
obj_000101,les_emt_000051,apply,Apply a structured EMS assessment and management plan for shock trauma at the EMT level.,1,scenario/question
obj_000102,les_emt_000051,analyse,Identify red flags and common pitfalls in shock trauma scenarios.,2,question/debrief
obj_000103,les_emt_000052,apply,Apply a structured EMS assessment and management plan for shock trauma at the EMT level.,1,scenario/question
obj_000104,les_emt_000052,analyse,Identify red flags and common pitfalls in shock trauma scenarios.,2,question/debrief
obj_000105,les_emt_000053,apply,Apply a structured EMS assessment and management plan for head injury at the EMT level.,1,scenario/question
obj_000106,les_emt_000053,analyse,Identify red flags and common pitfalls in head injury scenarios.,2,question/debrief
obj_000107,les_emt_000054,apply,Apply a structured EMS assessment and management plan for head injury at the EMT level.,1,scenario/question
obj_000108,les_emt_000054,analyse,Identify red flags and common pitfalls in head injury scenarios.,2,question/debrief
obj_000109,les_emt_000055,apply,Apply a structured EMS assessment and management plan for spinal motion at the EMT level.,1,scenario/question
obj_000110,les_emt_000055,analyse,Identify red flags and common pitfalls in spinal motion scenarios.,2,question/debrief
obj_000111,les_emt_000056,apply,Apply a structured EMS assessment and management plan for spinal motion at the EMT level.,1,scenario/question
obj_000112,les_emt_000056,analyse,Identify red flags and common pitfalls in spinal motion scenarios.,2,question/debrief
obj_000113,les_emt_000057,apply,Apply a structured EMS assessment and management plan for chest trauma at the EMT level.,1,scenario/question
obj_000114,les_emt_000057,analyse,Identify red flags and common pitfalls in chest trauma scenarios.,2,question/debrief
obj_000115,les_emt_000058,apply,Apply a structured EMS assessment and management plan for chest trauma at the EMT level.,1,scenario/question
obj_000116,les_emt_000058,analyse,Identify red flags and common pitfalls in chest trauma scenarios.,2,question/debrief
obj_000117,les_emt_000059,apply,Apply a structured EMS assessment and management plan for abdominal trauma at the EMT level.,1,scenario/question
obj_000118,les_emt_000059,analyse,Identify red flags and common pitfalls in abdominal trauma scenarios.,2,question/debrief
obj_000119,les_emt_000060,apply,Apply a structured EMS assessment and management plan for abdominal trauma at the EMT level.,1,scenario/question
obj_000120,les_emt_000060,analyse,Identify red flags and common pitfalls in abdominal trauma scenarios.,2,question/debrief
obj_000121,les_emt_000061,apply,Apply a structured EMS assessment and management plan for pelvic injury at the EMT level.,1,scenario/question
obj_000122,les_emt_000061,analyse,Identify red flags and common pitfalls in pelvic injury scenarios.,2,question/debrief
obj_000123,les_emt_000062,apply,Apply a structured EMS assessment and management plan for pelvic injury at the EMT level.,1,scenario/question
obj_000124,les_emt_000062,analyse,Identify red flags and common pitfalls in pelvic injury scenarios.,2,question/debrief
obj_000125,les_emt_000063,apply,Apply a structured EMS assessment and management plan for extremity injury at the EMT level.,1,scenario/question
obj_000126,les_emt_000063,analyse,Identify red flags and common pitfalls in extremity injury scenarios.,2,question/debrief
obj_000127,les_emt_000064,apply,Apply a structured EMS assessment and management plan for extremity injury at the EMT level.,1,scenario/question
obj_000128,les_emt_000064,analyse,Identify red flags and common pitfalls in extremity injury scenarios.,2,question/debrief
obj_000129,les_emt_000065,apply,Apply a structured EMS assessment and management plan for burns at the EMT level.,1,scenario/question
obj_000130,les_emt_000065,analyse,Identify red flags and common pitfalls in burns scenarios.,2,question/debrief
obj_000131,les_emt_000066,apply,Apply a structured EMS assessment and management plan for burns at the EMT level.,1,scenario/question
obj_000132,les_emt_000066,analyse,Identify red flags and common pitfalls in burns scenarios.,2,question/debrief
obj_000133,les_emt_000067,apply,Apply a structured EMS assessment and management plan for crush injury at the EMT level.,1,scenario/question
obj_000134,les_emt_000067,analyse,Identify red flags and common pitfalls in crush injury scenarios.,2,question/debrief
obj_000135,les_emt_000068,apply,Apply a structured EMS assessment and management plan for crush injury at the EMT level.,1,scenario/question
obj_000136,les_emt_000068,analyse,Identify red flags and common pitfalls in crush injury scenarios.,2,question/debrief
obj_000137,les_emt_000069,apply,Apply a structured EMS assessment and management plan for trauma triage at the EMT level.,1,scenario/question
obj_000138,les_emt_000069,analyse,Identify red flags and common pitfalls in trauma triage scenarios.,2,question/debrief
obj_000139,les_emt_000070,apply,Apply a structured EMS assessment and management plan for trauma triage at the EMT level.,1,scenario/question
obj_000140,les_emt_000070,analyse,Identify red flags and common pitfalls in trauma triage scenarios.,2,question/debrief
obj_000141,les_emt_000071,apply,Apply a structured EMS assessment and management plan for special trauma at the EMT level.,1,scenario/question
obj_000142,les_emt_000071,analyse,Identify red flags and common pitfalls in special trauma scenarios.,2,question/debrief
obj_000143,les_emt_000072,apply,Apply a structured EMS assessment and management plan for special trauma at the EMT level.,1,scenario/question
obj_000144,les_emt_000072,analyse,Identify red flags and common pitfalls in special trauma scenarios.,2,question/debrief
obj_000145,les_emt_000073,apply,Apply a structured EMS assessment and management plan for altered mental status at the EMT level.,1,scenario/question
obj_000146,les_emt_000073,analyse,Identify red flags and common pitfalls in altered mental status scenarios.,2,question/debrief
obj_000147,les_emt_000074,apply,Apply a structured EMS assessment and management plan for altered mental status at the EMT level.,1,scenario/question
obj_000148,les_emt_000074,analyse,Identify red flags and common pitfalls in altered mental status scenarios.,2,question/debrief
obj_000149,les_emt_000075,apply,Apply a structured EMS assessment and management plan for stroke at the EMT level.,1,scenario/question
obj_000150,les_emt_000075,analyse,Identify red flags and common pitfalls in stroke scenarios.,2,question/debrief
obj_000151,les_emt_000076,apply,Apply a structured EMS assessment and management plan for stroke at the EMT level.,1,scenario/question
obj_000152,les_emt_000076,analyse,Identify red flags and common pitfalls in stroke scenarios.,2,question/debrief
obj_000153,les_emt_000077,apply,Apply a structured EMS assessment and management plan for seizure at the EMT level.,1,scenario/question
obj_000154,les_emt_000077,analyse,Identify red flags and common pitfalls in seizure scenarios.,2,question/debrief
obj_000155,les_emt_000078,apply,Apply a structured EMS assessment and management plan for seizure at the EMT level.,1,scenario/question
obj_000156,les_emt_000078,analyse,Identify red flags and common pitfalls in seizure scenarios.,2,question/debrief
obj_000157,les_emt_000079,apply,Apply a structured EMS assessment and management plan for diabetes at the EMT level.,1,scenario/question
obj_000158,les_emt_000079,analyse,Identify red flags and common pitfalls in diabetes scenarios.,2,question/debrief
obj_000159,les_emt_000080,apply,Apply a structured EMS assessment and management plan for diabetes at the EMT level.,1,scenario/question
obj_000160,les_emt_000080,analyse,Identify red flags and common pitfalls in diabetes scenarios.,2,question/debrief
obj_000161,les_emt_000081,apply,Apply a structured EMS assessment and management plan for toxicology at the EMT level.,1,scenario/question
obj_000162,les_emt_000081,analyse,Identify red flags and common pitfalls in toxicology scenarios.,2,question/debrief
obj_000163,les_emt_000082,apply,Apply a structured EMS assessment and management plan for toxicology at the EMT level.,1,scenario/question
obj_000164,les_emt_000082,analyse,Identify red flags and common pitfalls in toxicology scenarios.,2,question/debrief
obj_000165,les_emt_000083,apply,Apply a structured EMS assessment and management plan for sepsis at the EMT level.,1,scenario/question
obj_000166,les_emt_000083,analyse,Identify red flags and common pitfalls in sepsis scenarios.,2,question/debrief
obj_000167,les_emt_000084,apply,Apply a structured EMS assessment and management plan for sepsis at the EMT level.,1,scenario/question
obj_000168,les_emt_000084,analyse,Identify red flags and common pitfalls in sepsis scenarios.,2,question/debrief
obj_000169,les_emt_000085,apply,Apply a structured EMS assessment and management plan for abdominal pain at the EMT level.,1,scenario/question
obj_000170,les_emt_000085,analyse,Identify red flags and common pitfalls in abdominal pain scenarios.,2,question/debrief
obj_000171,les_emt_000086,apply,Apply a structured EMS assessment and management plan for abdominal pain at the EMT level.,1,scenario/question
obj_000172,les_emt_000086,analyse,Identify red flags and common pitfalls in abdominal pain scenarios.,2,question/debrief
obj_000173,les_emt_000087,apply,Apply a structured EMS assessment and management plan for renal at the EMT level.,1,scenario/question
obj_000174,les_emt_000087,analyse,Identify red flags and common pitfalls in renal scenarios.,2,question/debrief
obj_000175,les_emt_000088,apply,Apply a structured EMS assessment and management plan for renal at the EMT level.,1,scenario/question
obj_000176,les_emt_000088,analyse,Identify red flags and common pitfalls in renal scenarios.,2,question/debrief
obj_000177,les_emt_000089,apply,Apply a structured EMS assessment and management plan for behavioral crisis at the EMT level.,1,scenario/question
obj_000178,les_emt_000089,analyse,Identify red flags and common pitfalls in behavioral crisis scenarios.,2,question/debrief
obj_000179,les_emt_000090,apply,Apply a structured EMS assessment and management plan for behavioral crisis at the EMT level.,1,scenario/question
obj_000180,les_emt_000090,analyse,Identify red flags and common pitfalls in behavioral crisis scenarios.,2,question/debrief
obj_000181,les_emt_000091,apply,Apply a structured EMS assessment and management plan for ob delivery at the EMT level.,1,scenario/question
obj_000182,les_emt_000091,analyse,Identify red flags and common pitfalls in ob delivery scenarios.,2,question/debrief
obj_000183,les_emt_000092,apply,Apply a structured EMS assessment and management plan for ob delivery at the EMT level.,1,scenario/question
obj_000184,les_emt_000092,analyse,Identify red flags and common pitfalls in ob delivery scenarios.,2,question/debrief
obj_000185,les_emt_000093,apply,Apply a structured EMS assessment and management plan for neonatal resuscitation at the EMT level.,1,scenario/question
obj_000186,les_emt_000093,analyse,Identify red flags and common pitfalls in neonatal resuscitation scenarios.,2,question/debrief
obj_000187,les_emt_000094,apply,Apply a structured EMS assessment and management plan for neonatal resuscitation at the EMT level.,1,scenario/question
obj_000188,les_emt_000094,analyse,Identify red flags and common pitfalls in neonatal resuscitation scenarios.,2,question/debrief
obj_000189,les_emt_000095,apply,Apply a structured EMS assessment and management plan for pediatrics at the EMT level.,1,scenario/question
obj_000190,les_emt_000095,analyse,Identify red flags and common pitfalls in pediatrics scenarios.,2,question/debrief
obj_000191,les_emt_000096,apply,Apply a structured EMS assessment and management plan for pediatrics at the EMT level.,1,scenario/question
obj_000192,les_emt_000096,analyse,Identify red flags and common pitfalls in pediatrics scenarios.,2,question/debrief
obj_000193,les_emt_000097,apply,Apply a structured EMS assessment and management plan for geriatrics at the EMT level.,1,scenario/question
obj_000194,les_emt_000097,analyse,Identify red flags and common pitfalls in geriatrics scenarios.,2,question/debrief
obj_000195,les_emt_000098,apply,Apply a structured EMS assessment and management plan for geriatrics at the EMT level.,1,scenario/question
obj_000196,les_emt_000098,analyse,Identify red flags and common pitfalls in geriatrics scenarios.,2,question/debrief
obj_000197,les_emt_000099,apply,Apply a structured EMS assessment and management plan for allergy anaphylaxis at the EMT level.,1,scenario/question
obj_000198,les_emt_000099,analyse,Identify red flags and common pitfalls in allergy anaphylaxis scenarios.,2,question/debrief
obj_000199,les_emt_000100,apply,Apply a structured EMS assessment and management plan for allergy anaphylaxis at the EMT level.,1,scenario/question
obj_000200,les_emt_000100,analyse,Identify red flags and common pitfalls in allergy anaphylaxis scenarios.,2,question/debrief
obj_000201,les_emt_000101,apply,Apply a structured EMS assessment and management plan for scene safety at the EMT level.,1,scenario/question
obj_000202,les_emt_000101,analyse,Identify red flags and common pitfalls in scene safety scenarios.,2,question/debrief
obj_000203,les_emt_000102,apply,Apply a structured EMS assessment and management plan for scene safety at the EMT level.,1,scenario/question
obj_000204,les_emt_000102,analyse,Identify red flags and common pitfalls in scene safety scenarios.,2,question/debrief
obj_000205,les_emt_000103,apply,Apply a structured EMS assessment and management plan for ppe infection control at the EMT level.,1,scenario/question
obj_000206,les_emt_000103,analyse,Identify red flags and common pitfalls in ppe infection control scenarios.,2,question/debrief
obj_000207,les_emt_000104,apply,Apply a structured EMS assessment and management plan for ppe infection control at the EMT level.,1,scenario/question
obj_000208,les_emt_000104,analyse,Identify red flags and common pitfalls in ppe infection control scenarios.,2,question/debrief
obj_000209,les_emt_000105,apply,Apply a structured EMS assessment and management plan for hazmat awareness at the EMT level.,1,scenario/question
obj_000210,les_emt_000105,analyse,Identify red flags and common pitfalls in hazmat awareness scenarios.,2,question/debrief
obj_000211,les_emt_000106,apply,Apply a structured EMS assessment and management plan for hazmat awareness at the EMT level.,1,scenario/question
obj_000212,les_emt_000106,analyse,Identify red flags and common pitfalls in hazmat awareness scenarios.,2,question/debrief
obj_000213,les_emt_000107,apply,Apply a structured EMS assessment and management plan for mci triage at the EMT level.,1,scenario/question
obj_000214,les_emt_000107,analyse,Identify red flags and common pitfalls in mci triage scenarios.,2,question/debrief
obj_000215,les_emt_000108,apply,Apply a structured EMS assessment and management plan for mci triage at the EMT level.,1,scenario/question
obj_000216,les_emt_000108,analyse,Identify red flags and common pitfalls in mci triage scenarios.,2,question/debrief
obj_000217,les_emt_000109,apply,Apply a structured EMS assessment and management plan for radio report at the EMT level.,1,scenario/question
obj_000218,les_emt_000109,analyse,Identify red flags and common pitfalls in radio report scenarios.,2,question/debrief
obj_000219,les_emt_000110,apply,Apply a structured EMS assessment and management plan for radio report at the EMT level.,1,scenario/question
obj_000220,les_emt_000110,analyse,Identify red flags and common pitfalls in radio report scenarios.,2,question/debrief
obj_000221,les_emt_000111,apply,Apply a structured EMS assessment and management plan for documentation at the EMT level.,1,scenario/question
obj_000222,les_emt_000111,analyse,Identify red flags and common pitfalls in documentation scenarios.,2,question/debrief
obj_000223,les_emt_000112,apply,Apply a structured EMS assessment and management plan for documentation at the EMT level.,1,scenario/question
obj_000224,les_emt_000112,analyse,Identify red flags and common pitfalls in documentation scenarios.,2,question/debrief
obj_000225,les_emt_000113,apply,Apply a structured EMS assessment and management plan for legal consent at the EMT level.,1,scenario/question
obj_000226,les_emt_000113,analyse,Identify red flags and common pitfalls in legal consent scenarios.,2,question/debrief
obj_000227,les_emt_000114,apply,Apply a structured EMS assessment and management plan for legal consent at the EMT level.,1,scenario/question
obj_000228,les_emt_000114,analyse,Identify red flags and common pitfalls in legal consent scenarios.,2,question/debrief
obj_000229,les_emt_000115,apply,Apply a structured EMS assessment and management plan for refusal at the EMT level.,1,scenario/question
obj_000230,les_emt_000115,analyse,Identify red flags and common pitfalls in refusal scenarios.,2,question/debrief
obj_000231,les_emt_000116,apply,Apply a structured EMS assessment and management plan for refusal at the EMT level.,1,scenario/question
obj_000232,les_emt_000116,analyse,Identify red flags and common pitfalls in refusal scenarios.,2,question/debrief
obj_000233,les_emt_000117,apply,Apply a structured EMS assessment and management plan for interfacility at the EMT level.,1,scenario/question
obj_000234,les_emt_000117,analyse,Identify red flags and common pitfalls in interfacility scenarios.,2,question/debrief
obj_000235,les_emt_000118,apply,Apply a structured EMS assessment and management plan for interfacility at the EMT level.,1,scenario/question
obj_000236,les_emt_000118,analyse,Identify red flags and common pitfalls in interfacility scenarios.,2,question/debrief
obj_000237,les_emt_000119,apply,Apply a structured EMS assessment and management plan for wellness resilience at the EMT level.,1,scenario/question
obj_000238,les_emt_000119,analyse,Identify red flags and common pitfalls in wellness resilience scenarios.,2,question/debrief
obj_000239,les_emt_000120,apply,Apply a structured EMS assessment and management plan for wellness resilience at the EMT level.,1,scenario/question
obj_000240,les_emt_000120,analyse,Identify red flags and common pitfalls in wellness resilience scenarios.,2,question/debrief
obj_000241,les_emt_000121,apply,Apply a structured EMS assessment and management plan for ambulance ops at the EMT level.,1,scenario/question
obj_000242,les_emt_000121,analyse,Identify red flags and common pitfalls in ambulance ops scenarios.,2,question/debrief
obj_000243,les_emt_000122,apply,Apply a structured EMS assessment and management plan for ambulance ops at the EMT level.,1,scenario/question
obj_000244,les_emt_000122,analyse,Identify red flags and common pitfalls in ambulance ops scenarios.,2,question/debrief
obj_000245,les_emt_000123,apply,Apply a structured EMS assessment and management plan for quality improvement at the EMT level.,1,scenario/question
obj_000246,les_emt_000123,analyse,Identify red flags and common pitfalls in quality improvement scenarios.,2,question/debrief
obj_000247,les_emt_000124,apply,Apply a structured EMS assessment and management plan for quality improvement at the EMT level.,1,scenario/question
obj_000248,les_emt_000124,analyse,Identify red flags and common pitfalls in quality improvement scenarios.,2,question/debrief
obj_000249,les_emt_000125,apply,Apply a structured EMS assessment and management plan for anatomy physiology at the EMT level.,1,scenario/question
obj_000250,les_emt_000125,analyse,Identify red flags and common pitfalls in anatomy physiology scenarios.,2,question/debrief
obj_000251,les_emt_000126,apply,Apply a structured EMS assessment and management plan for anatomy physiology at the EMT level.,1,scenario/question
obj_000252,les_emt_000126,analyse,Identify red flags and common pitfalls in anatomy physiology scenarios.,2,question/debrief
obj_000253,les_emt_000127,apply,Apply a structured EMS assessment and management plan for medical terminology at the EMT level.,1,scenario/question
obj_000254,les_emt_000127,analyse,Identify red flags and common pitfalls in medical terminology scenarios.,2,question/debrief
obj_000255,les_emt_000128,apply,Apply a structured EMS assessment and management plan for medical terminology at the EMT level.,1,scenario/question
obj_000256,les_emt_000128,analyse,Identify red flags and common pitfalls in medical terminology scenarios.,2,question/debrief
obj_000257,les_emt_000129,apply,Apply a structured EMS assessment and management plan for pathophysiology at the EMT level.,1,scenario/question
obj_000258,les_emt_000129,analyse,Identify red flags and common pitfalls in pathophysiology scenarios.,2,question/debrief
obj_000259,les_emt_000130,apply,Apply a structured EMS assessment and management plan for pathophysiology at the EMT level.,1,scenario/question
obj_000260,les_emt_000130,analyse,Identify red flags and common pitfalls in pathophysiology scenarios.,2,question/debrief
obj_000261,les_emt_000131,apply,Apply a structured EMS assessment and management plan for pharmacology basics at the EMT level.,1,scenario/question
obj_000262,les_emt_000131,analyse,Identify red flags and common pitfalls in pharmacology basics scenarios.,2,question/debrief
