step_id,scenario_id,phase,cue_text,data_payload_json,expected_action,scope_allowed,dangerous_wrong_action,consequence_text,next_default_step_id
step_000014,scn_emt_000002,primary,Primary: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform primary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000015
step_000015,scn_emt_000002,immediate_interventions,Immediate Interventions: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform immediate interventions tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000016
step_000016,scn_emt_000002,secondary,Secondary: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform secondary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000017
step_000017,scn_emt_000002,reassessment,Reassessment: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform reassessment tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000018
step_000018,scn_emt_000002,transport,Transport: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform transport tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000019
step_000019,scn_emt_000002,handoff,Handoff: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform handoff tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000020
step_000020,scn_emt_000002,debrief,Debrief: Pediatric croup-like breathing. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform debrief tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,
step_000021,scn_emt_000003,dispatch,Dispatch: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform dispatch tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000022
step_000022,scn_emt_000003,arrival,Arrival: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform arrival tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000023
step_000023,scn_emt_000003,scene_size_up,Scene Size Up: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform scene size up tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000024
step_000024,scn_emt_000003,primary,Primary: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform primary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000025
step_000025,scn_emt_000003,immediate_interventions,Immediate Interventions: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform immediate interventions tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000026
step_000026,scn_emt_000003,secondary,Secondary: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform secondary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000027
step_000027,scn_emt_000003,reassessment,Reassessment: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform reassessment tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000028
step_000028,scn_emt_000003,transport,Transport: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform transport tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000029
step_000029,scn_emt_000003,handoff,Handoff: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform handoff tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000030
step_000030,scn_emt_000003,debrief,Debrief: Chest pain with diaphoresis. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform debrief tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,
step_000031,scn_emt_000004,dispatch,Dispatch: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform dispatch tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000032
step_000032,scn_emt_000004,arrival,Arrival: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform arrival tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000033
step_000033,scn_emt_000004,scene_size_up,Scene Size Up: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform scene size up tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000034
step_000034,scn_emt_000004,primary,Primary: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform primary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000035
step_000035,scn_emt_000004,immediate_interventions,Immediate Interventions: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform immediate interventions tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000036
step_000036,scn_emt_000004,secondary,Secondary: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform secondary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000037
step_000037,scn_emt_000004,reassessment,Reassessment: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform reassessment tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000038
step_000038,scn_emt_000004,transport,Transport: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform transport tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000039
step_000039,scn_emt_000004,handoff,Handoff: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform handoff tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000040
step_000040,scn_emt_000004,debrief,Debrief: Syncope at gym. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform debrief tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,
step_000041,scn_emt_000005,dispatch,Dispatch: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform dispatch tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000042
step_000042,scn_emt_000005,arrival,Arrival: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform arrival tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000043
step_000043,scn_emt_000005,scene_size_up,Scene Size Up: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform scene size up tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000044
step_000044,scn_emt_000005,primary,Primary: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform primary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000045
step_000045,scn_emt_000005,immediate_interventions,Immediate Interventions: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform immediate interventions tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000046
step_000046,scn_emt_000005,secondary,Secondary: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform secondary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000047
step_000047,scn_emt_000005,reassessment,Reassessment: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform reassessment tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000048
step_000048,scn_emt_000005,transport,Transport: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform transport tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000049
step_000049,scn_emt_000005,handoff,Handoff: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform handoff tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000050
step_000050,scn_emt_000005,debrief,Debrief: Motor vehicle crash with bleeding. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform debrief tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,
step_000051,scn_emt_000006,dispatch,Dispatch: Fall from height. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform dispatch tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000052
step_000052,scn_emt_000006,arrival,Arrival: Fall from height. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform arrival tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000053
step_000053,scn_emt_000006,scene_size_up,Scene Size Up: Fall from height. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform scene size up tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000054
step_000054,scn_emt_000006,primary,Primary: Fall from height. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform primary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000055
step_000055,scn_emt_000006,immediate_interventions,Immediate Interventions: Fall from height. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform immediate interventions tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000056
step_000056,scn_emt_000006,secondary,Secondary: Fall from height. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform secondary tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000057
step_000057,scn_emt_000006,reassessment,Reassessment: Fall from height. Vital signs and clues evolve based on actions.,"{""hr"": 98, ""rr"": 19, ""bp"": ""protocol_case"", ""spo2"": 95, ""pain"": 2, ""mental_status"": ""AOx4 unless deterioration branch""}","Perform reassessment tasks, identify life threats, stay within EMT scope, and reassess.",emt,"Ignoring scene safety, missing airway/breathing/circulation threat, delaying transport, or exceeding scope.",Correct actions improve stability; missed priorities worsen perfusion or respiratory status.,step_000058
