cref_id,content_type,content_id,reference_id,pinpoint_text,citation_priority
cref_000077,lesson,les_emt_000077,ref_000002,National EMS Education Standards alignment,1
cref_000078,lesson,les_emt_000078,ref_000002,National EMS Education Standards alignment,1
cref_000079,lesson,les_emt_000079,ref_000002,National EMS Education Standards alignment,1
cref_000080,lesson,les_emt_000080,ref_000002,National EMS Education Standards alignment,1
cref_000081,lesson,les_emt_000081,ref_000002,National EMS Education Standards alignment,1
cref_000082,lesson,les_emt_000082,ref_000002,National EMS Education Standards alignment,1
cref_000083,lesson,les_emt_000083,ref_000002,National EMS Education Standards alignment,1
cref_000084,lesson,les_emt_000084,ref_000002,National EMS Education Standards alignment,1
cref_000085,lesson,les_emt_000085,ref_000002,National EMS Education Standards alignment,1
cref_000086,lesson,les_emt_000086,ref_000002,National EMS Education Standards alignment,1
cref_000087,lesson,les_emt_000087,ref_000002,National EMS Education Standards alignment,1
cref_000088,lesson,les_emt_000088,ref_000002,National EMS Education Standards alignment,1
cref_000089,lesson,les_emt_000089,ref_000002,National EMS Education Standards alignment,1
cref_000090,lesson,les_emt_000090,ref_000002,National EMS Education Standards alignment,1
cref_000091,lesson,les_emt_000091,ref_000002,National EMS Education Standards alignment,1
cref_000092,lesson,les_emt_000092,ref_000002,National EMS Education Standards alignment,1
cref_000093,lesson,les_emt_000093,ref_000002,National EMS Education Standards alignment,1
cref_000094,lesson,les_emt_000094,ref_000002,National EMS Education Standards alignment,1
cref_000095,lesson,les_emt_000095,ref_000002,National EMS Education Standards alignment,1
cref_000096,lesson,les_emt_000096,ref_000002,National EMS Education Standards alignment,1
cref_000097,lesson,les_emt_000097,ref_000002,National EMS Education Standards alignment,1
cref_000098,lesson,les_emt_000098,ref_000002,National EMS Education Standards alignment,1
cref_000099,lesson,les_emt_000099,ref_000002,National EMS Education Standards alignment,1
cref_000100,lesson,les_emt_000100,ref_000002,National EMS Education Standards alignment,1
cref_000101,lesson,les_emt_000101,ref_000002,National EMS Education Standards alignment,1
cref_000102,lesson,les_emt_000102,ref_000002,National EMS Education Standards alignment,1
cref_000103,lesson,les_emt_000103,ref_000002,National EMS Education Standards alignment,1
cref_000104,lesson,les_emt_000104,ref_000002,National EMS Education Standards alignment,1
cref_000105,lesson,les_emt_000105,ref_000002,National EMS Education Standards alignment,1
cref_000106,lesson,les_emt_000106,ref_000002,National EMS Education Standards alignment,1
cref_000107,lesson,les_emt_000107,ref_000002,National EMS Education Standards alignment,1
cref_000108,lesson,les_emt_000108,ref_000002,National EMS Education Standards alignment,1
cref_000109,lesson,les_emt_000109,ref_000002,National EMS Education Standards alignment,1
cref_000110,lesson,les_emt_000110,ref_000002,National EMS Education Standards alignment,1
cref_000111,lesson,les_emt_000111,ref_000002,National EMS Education Standards alignment,1
cref_000112,lesson,les_emt_000112,ref_000002,National EMS Education Standards alignment,1
cref_000113,lesson,les_emt_000113,ref_000002,National EMS Education Standards alignment,1
cref_000114,lesson,les_emt_000114,ref_000002,National EMS Education Standards alignment,1
cref_000115,lesson,les_emt_000115,ref_000002,National EMS Education Standards alignment,1
cref_000116,lesson,les_emt_000116,ref_000002,National EMS Education Standards alignment,1
cref_000117,lesson,les_emt_000117,ref_000002,National EMS Education Standards alignment,1
cref_000118,lesson,les_emt_000118,ref_000002,National EMS Education Standards alignment,1
cref_000119,lesson,les_emt_000119,ref_000002,National EMS Education Standards alignment,1
cref_000120,lesson,les_emt_000120,ref_000002,National EMS Education Standards alignment,1
cref_000121,lesson,les_emt_000121,ref_000002,National EMS Education Standards alignment,1
cref_000122,lesson,les_emt_000122,ref_000002,National EMS Education Standards alignment,1
cref_000123,lesson,les_emt_000123,ref_000002,National EMS Education Standards alignment,1
cref_000124,lesson,les_emt_000124,ref_000002,National EMS Education Standards alignment,1
cref_000125,lesson,les_emt_000125,ref_000002,National EMS Education Standards alignment,1
cref_000126,lesson,les_emt_000126,ref_000002,National EMS Education Standards alignment,1
cref_000127,lesson,les_emt_000127,ref_000002,National EMS Education Standards alignment,1
cref_000128,lesson,les_emt_000128,ref_000002,National EMS Education Standards alignment,1
cref_000129,lesson,les_emt_000129,ref_000002,National EMS Education Standards alignment,1
cref_000130,lesson,les_emt_000130,ref_000002,National EMS Education Standards alignment,1
cref_000131,lesson,les_emt_000131,ref_000002,National EMS Education Standards alignment,1
cref_000132,lesson,les_emt_000132,ref_000002,National EMS Education Standards alignment,1
cref_000133,lesson,les_emt_000133,ref_000002,National EMS Education Standards alignment,1
cref_000134,lesson,les_emt_000134,ref_000002,National EMS Education Standards alignment,1
cref_000135,lesson,les_emt_000135,ref_000002,National EMS Education Standards alignment,1
cref_000136,lesson,les_emt_000136,ref_000002,National EMS Education Standards alignment,1
cref_000137,lesson,les_emt_000137,ref_000002,National EMS Education Standards alignment,1
cref_000138,lesson,les_emt_000138,ref_000002,National EMS Education Standards alignment,1
cref_000139,lesson,les_emt_000139,ref_000002,National EMS Education Standards alignment,1
cref_000140,lesson,les_emt_000140,ref_000002,National EMS Education Standards alignment,1
cref_000141,lesson,les_emt_000141,ref_000002,National EMS Education Standards alignment,1
cref_000142,lesson,les_emt_000142,ref_000002,National EMS Education Standards alignment,1
cref_000143,lesson,les_emt_000143,ref_000002,National EMS Education Standards alignment,1
cref_000144,lesson,les_emt_000144,ref_000002,National EMS Education Standards alignment,1
cref_000145,lesson,les_aemt_000145,ref_000002,National EMS Education Standards alignment,1
cref_000146,lesson,les_aemt_000146,ref_000002,National EMS Education Standards alignment,1
cref_000147,lesson,les_aemt_000147,ref_000002,National EMS Education Standards alignment,1
cref_000148,lesson,les_aemt_000148,ref_000002,National EMS Education Standards alignment,1
cref_000149,lesson,les_aemt_000149,ref_000002,National EMS Education Standards alignment,1
cref_000150,lesson,les_aemt_000150,ref_000002,National EMS Education Standards alignment,1
cref_000151,lesson,les_aemt_000151,ref_000002,National EMS Education Standards alignment,1
cref_000152,lesson,les_aemt_000152,ref_000002,National EMS Education Standards alignment,1
cref_000153,lesson,les_aemt_000153,ref_000002,National EMS Education Standards alignment,1
cref_000154,lesson,les_aemt_000154,ref_000002,National EMS Education Standards alignment,1
cref_000155,lesson,les_aemt_000155,ref_000002,National EMS Education Standards alignment,1
cref_000156,lesson,les_aemt_000156,ref_000002,National EMS Education Standards alignment,1
cref_000157,lesson,les_aemt_000157,ref_000002,National EMS Education Standards alignment,1
cref_000158,lesson,les_aemt_000158,ref_000002,National EMS Education Standards alignment,1
cref_000159,lesson,les_aemt_000159,ref_000002,National EMS Education Standards alignment,1
cref_000160,lesson,les_aemt_000160,ref_000002,National EMS Education Standards alignment,1
cref_000161,lesson,les_aemt_000161,ref_000002,National EMS Education Standards alignment,1
cref_000162,lesson,les_aemt_000162,ref_000002,National EMS Education Standards alignment,1
cref_000163,lesson,les_aemt_000163,ref_000002,National EMS Education Standards alignment,1
cref_000164,lesson,les_aemt_000164,ref_000002,National EMS Education Standards alignment,1
cref_000165,lesson,les_aemt_000165,ref_000002,National EMS Education Standards alignment,1
cref_000166,lesson,les_aemt_000166,ref_000002,National EMS Education Standards alignment,1
cref_000167,lesson,les_aemt_000167,ref_000002,National EMS Education Standards alignment,1
cref_000168,lesson,les_aemt_000168,ref_000002,National EMS Education Standards alignment,1
cref_000169,lesson,les_aemt_000169,ref_000002,National EMS Education Standards alignment,1
cref_000170,lesson,les_aemt_000170,ref_000002,National EMS Education Standards alignment,1
cref_000171,lesson,les_aemt_000171,ref_000002,National EMS Education Standards alignment,1
cref_000172,lesson,les_aemt_000172,ref_000002,National EMS Education Standards alignment,1
cref_000173,lesson,les_aemt_000173,ref_000002,National EMS Education Standards alignment,1
cref_000174,lesson,les_aemt_000174,ref_000002,National EMS Education Standards alignment,1
cref_000175,lesson,les_aemt_000175,ref_000002,National EMS Education Standards alignment,1
cref_000176,lesson,les_aemt_000176,ref_000002,National EMS Education Standards alignment,1
cref_000177,lesson,les_aemt_000177,ref_000002,National EMS Education Standards alignment,1
cref_000178,lesson,les_aemt_000178,ref_000002,National EMS Education Standards alignment,1
cref_000179,lesson,les_aemt_000179,ref_000002,National EMS Education Standards alignment,1
cref_000180,lesson,les_aemt_000180,ref_000002,National EMS Education Standards alignment,1
cref_000181,lesson,les_aemt_000181,ref_000002,National EMS Education Standards alignment,1
cref_000182,lesson,les_aemt_000182,ref_000002,National EMS Education Standards alignment,1
cref_000183,lesson,les_aemt_000183,ref_000002,National EMS Education Standards alignment,1
cref_000184,lesson,les_aemt_000184,ref_000002,National EMS Education Standards alignment,1
cref_000185,lesson,les_aemt_000185,ref_000002,National EMS Education Standards alignment,1
cref_000186,lesson,les_aemt_000186,ref_000002,National EMS Education Standards alignment,1
cref_000187,lesson,les_aemt_000187,ref_000002,National EMS Education Standards alignment,1
cref_000188,lesson,les_aemt_000188,ref_000002,National EMS Education Standards alignment,1
cref_000189,lesson,les_aemt_000189,ref_000002,National EMS Education Standards alignment,1
cref_000190,lesson,les_aemt_000190,ref_000002,National EMS Education Standards alignment,1
cref_000191,lesson,les_aemt_000191,ref_000002,National EMS Education Standards alignment,1
cref_000192,lesson,les_aemt_000192,ref_000002,National EMS Education Standards alignment,1
cref_000193,lesson,les_aemt_000193,ref_000002,National EMS Education Standards alignment,1
cref_000194,lesson,les_aemt_000194,ref_000002,National EMS Education Standards alignment,1
cref_000195,lesson,les_aemt_000195,ref_000002,National EMS Education Standards alignment,1
cref_000196,lesson,les_aemt_000196,ref_000002,National EMS Education Standards alignment,1
cref_000197,lesson,les_aemt_000197,ref_000002,National EMS Education Standards alignment,1
cref_000198,lesson,les_aemt_000198,ref_000002,National EMS Education Standards alignment,1
cref_000199,lesson,les_aemt_000199,ref_000002,National EMS Education Standards alignment,1
cref_000200,lesson,les_aemt_000200,ref_000002,National EMS Education Standards alignment,1
cref_000201,lesson,les_aemt_000201,ref_000002,National EMS Education Standards alignment,1
cref_000202,lesson,les_aemt_000202,ref_000002,National EMS Education Standards alignment,1
cref_000203,lesson,les_aemt_000203,ref_000002,National EMS Education Standards alignment,1
cref_000204,lesson,les_aemt_000204,ref_000002,National EMS Education Standards alignment,1
cref_000205,lesson,les_aemt_000205,ref_000002,National EMS Education Standards alignment,1
cref_000206,lesson,les_aemt_000206,ref_000002,National EMS Education Standards alignment,1
cref_000207,lesson,les_aemt_000207,ref_000002,National EMS Education Standards alignment,1
cref_000208,lesson,les_aemt_000208,ref_000002,National EMS Education Standards alignment,1
cref_000209,lesson,les_aemt_000209,ref_000002,National EMS Education Standards alignment,1
cref_000210,lesson,les_aemt_000210,ref_000002,National EMS Education Standards alignment,1
cref_000211,lesson,les_aemt_000211,ref_000002,National EMS Education Standards alignment,1
cref_000212,lesson,les_aemt_000212,ref_000002,National EMS Education Standards alignment,1
cref_000213,lesson,les_aemt_000213,ref_000002,National EMS Education Standards alignment,1
cref_000214,lesson,les_aemt_000214,ref_000002,National EMS Education Standards alignment,1
cref_000215,lesson,les_aemt_000215,ref_000002,National EMS Education Standards alignment,1
cref_000216,lesson,les_aemt_000216,ref_000002,National EMS Education Standards alignment,1
cref_000217,lesson,les_aemt_000217,ref_000002,National EMS Education Standards alignment,1
cref_000218,lesson,les_aemt_000218,ref_000002,National EMS Education Standards alignment,1
cref_000219,lesson,les_aemt_000219,ref_000002,National EMS Education Standards alignment,1
cref_000220,lesson,les_aemt_000220,ref_000002,National EMS Education Standards alignment,1
cref_000221,lesson,les_aemt_000221,ref_000002,National EMS Education Standards alignment,1
cref_000222,lesson,les_aemt_000222,ref_000002,National EMS Education Standards alignment,1
cref_000223,lesson,les_aemt_000223,ref_000002,National EMS Education Standards alignment,1
cref_000224,lesson,les_aemt_000224,ref_000002,National EMS Education Standards alignment,1
cref_000225,lesson,les_aemt_000225,ref_000002,National EMS Education Standards alignment,1
cref_000226,lesson,les_aemt_000226,ref_000002,National EMS Education Standards alignment,1
cref_000227,lesson,les_aemt_000227,ref_000002,National EMS Education Standards alignment,1
cref_000228,lesson,les_aemt_000228,ref_000002,National EMS Education Standards alignment,1
cref_000229,lesson,les_aemt_000229,ref_000002,National EMS Education Standards alignment,1
cref_000230,lesson,les_aemt_000230,ref_000002,National EMS Education Standards alignment,1
cref_000231,lesson,les_aemt_000231,ref_000002,National EMS Education Standards alignment,1
cref_000232,lesson,les_aemt_000232,ref_000002,National EMS Education Standards alignment,1
cref_000233,lesson,les_aemt_000233,ref_000002,National EMS Education Standards alignment,1
cref_000234,lesson,les_aemt_000234,ref_000002,National EMS Education Standards alignment,1
cref_000235,lesson,les_aemt_000235,ref_000002,National EMS Education Standards alignment,1
cref_000236,lesson,les_aemt_000236,ref_000002,National EMS Education Standards alignment,1
cref_000237,lesson,les_aemt_000237,ref_000002,National EMS Education Standards alignment,1
cref_000238,lesson,les_aemt_000238,ref_000002,National EMS Education Standards alignment,1
cref_000239,lesson,les_aemt_000239,ref_000002,National EMS Education Standards alignment,1
cref_000240,lesson,les_aemt_000240,ref_000002,National EMS Education Standards alignment,1
cref_000241,lesson,les_aemt_000241,ref_000002,National EMS Education Standards alignment,1
cref_000242,lesson,les_aemt_000242,ref_000002,National EMS Education Standards alignment,1
cref_000243,lesson,les_aemt_000243,ref_000002,National EMS Education Standards alignment,1
cref_000244,lesson,les_aemt_000244,ref_000002,National EMS Education Standards alignment,1
cref_000245,lesson,les_aemt_000245,ref_000002,National EMS Education Standards alignment,1
cref_000246,lesson,les_aemt_000246,ref_000002,National EMS Education Standards alignment,1
cref_000247,lesson,les_aemt_000247,ref_000002,National EMS Education Standards alignment,1
cref_000248,lesson,les_aemt_000248,ref_000002,National EMS Education Standards alignment,1
cref_000249,lesson,les_aemt_000249,ref_000002,National EMS Education Standards alignment,1
cref_000250,lesson,les_aemt_000250,ref_000002,National EMS Education Standards alignment,1
cref_000251,lesson,les_aemt_000251,ref_000002,National EMS Education Standards alignment,1
cref_000252,lesson,les_aemt_000252,ref_000002,National EMS Education Standards alignment,1
cref_000253,lesson,les_aemt_000253,ref_000002,National EMS Education Standards alignment,1
cref_000254,lesson,les_aemt_000254,ref_000002,National EMS Education Standards alignment,1
cref_000255,lesson,les_aemt_000255,ref_000002,National EMS Education Standards alignment,1
cref_000256,lesson,les_aemt_000256,ref_000002,National EMS Education Standards alignment,1
cref_000257,lesson,les_aemt_000257,ref_000002,National EMS Education Standards alignment,1
cref_000258,lesson,les_aemt_000258,ref_000002,National EMS Education Standards alignment,1
cref_000259,lesson,les_aemt_000259,ref_000002,National EMS Education Standards alignment,1
cref_000260,lesson,les_aemt_000260,ref_000002,National EMS Education Standards alignment,1
cref_000261,lesson,les_aemt_000261,ref_000002,National EMS Education Standards alignment,1
cref_000262,lesson,les_aemt_000262,ref_000002,National EMS Education Standards alignment,1
cref_000263,lesson,les_aemt_000263,ref_000002,National EMS Education Standards alignment,1
cref_000264,lesson,les_aemt_000264,ref_000002,National EMS Education Standards alignment,1
cref_000265,lesson,les_aemt_000265,ref_000002,National EMS Education Standards alignment,1
cref_000266,lesson,les_aemt_000266,ref_000002,National EMS Education Standards alignment,1
cref_000267,lesson,les_aemt_000267,ref_000002,National EMS Education Standards alignment,1
cref_000268,lesson,les_aemt_000268,ref_000002,National EMS Education Standards alignment,1
cref_000269,lesson,les_aemt_000269,ref_000002,National EMS Education Standards alignment,1
cref_000270,lesson,les_aemt_000270,ref_000002,National EMS Education Standards alignment,1
cref_000271,lesson,les_aemt_000271,ref_000002,National EMS Education Standards alignment,1
cref_000272,lesson,les_aemt_000272,ref_000002,National EMS Education Standards alignment,1
cref_000273,lesson,les_aemt_000273,ref_000002,National EMS Education Standards alignment,1
cref_000274,lesson,les_aemt_000274,ref_000002,National EMS Education Standards alignment,1
cref_000275,lesson,les_aemt_000275,ref_000002,National EMS Education Standards alignment,1
cref_000276,lesson,les_aemt_000276,ref_000002,National EMS Education Standards alignment,1
cref_000277,lesson,les_aemt_000277,ref_000002,National EMS Education Standards alignment,1
cref_000278,lesson,les_aemt_000278,ref_000002,National EMS Education Standards alignment,1
cref_000279,lesson,les_aemt_000279,ref_000002,National EMS Education Standards alignment,1
cref_000280,lesson,les_aemt_000280,ref_000002,National EMS Education Standards alignment,1
cref_000281,lesson,les_aemt_000281,ref_000002,National EMS Education Standards alignment,1
cref_000282,lesson,les_aemt_000282,ref_000002,National EMS Education Standards alignment,1
cref_000283,lesson,les_aemt_000283,ref_000002,National EMS Education Standards alignment,1
cref_000284,lesson,les_aemt_000284,ref_000002,National EMS Education Standards alignment,1
cref_000285,lesson,les_aemt_000285,ref_000002,National EMS Education Standards alignment,1
cref_000286,lesson,les_aemt_000286,ref_000002,National EMS Education Standards alignment,1
cref_000287,lesson,les_aemt_000287,ref_000002,National EMS Education Standards alignment,1
cref_000288,lesson,les_aemt_000288,ref_000002,National EMS Education Standards alignment,1
cref_000289,lesson,les_aemt_000289,ref_000002,National EMS Education Standards alignment,1
cref_000290,lesson,les_aemt_000290,ref_000002,National EMS Education Standards alignment,1
cref_000291,lesson,les_aemt_000291,ref_000002,National EMS Education Standards alignment,1
cref_000292,lesson,les_aemt_000292,ref_000002,National EMS Education Standards alignment,1
cref_000293,lesson,les_aemt_000293,ref_000002,National EMS Education Standards alignment,1
cref_000294,lesson,les_aemt_000294,ref_000002,National EMS Education Standards alignment,1
cref_000295,lesson,les_aemt_000295,ref_000002,National EMS Education Standards alignment,1
cref_000296,lesson,les_aemt_000296,ref_000002,National EMS Education Standards alignment,1
cref_000297,lesson,les_aemt_000297,ref_000002,National EMS Education Standards alignment,1
cref_000298,lesson,les_aemt_000298,ref_000002,National EMS Education Standards alignment,1
cref_000299,lesson,les_aemt_000299,ref_000002,National EMS Education Standards alignment,1
cref_000300,lesson,les_aemt_000300,ref_000002,National EMS Education Standards alignment,1
cref_000301,lesson,les_aemt_000301,ref_000002,National EMS Education Standards alignment,1
cref_000302,lesson,les_aemt_000302,ref_000002,National EMS Education Standards alignment,1
cref_000303,lesson,les_aemt_000303,ref_000002,National EMS Education Standards alignment,1
cref_000304,lesson,les_aemt_000304,ref_000002,National EMS Education Standards alignment,1
cref_000305,lesson,les_aemt_000305,ref_000002,National EMS Education Standards alignment,1
cref_000306,lesson,les_aemt_000306,ref_000002,National EMS Education Standards alignment,1
cref_000307,lesson,les_aemt_000307,ref_000002,National EMS Education Standards alignment,1
cref_000308,lesson,les_aemt_000308,ref_000002,National EMS Education Standards alignment,1
cref_000309,lesson,les_aemt_000309,ref_000002,National EMS Education Standards alignment,1
cref_000310,lesson,les_aemt_000310,ref_000002,National EMS Education Standards alignment,1
cref_000311,lesson,les_aemt_000311,ref_000002,National EMS Education Standards alignment,1
cref_000312,lesson,les_aemt_000312,ref_000002,National EMS Education Standards alignment,1
cref_000313,lesson,les_aemt_000313,ref_000002,National EMS Education Standards alignment,1
cref_000314,lesson,les_aemt_000314,ref_000002,National EMS Education Standards alignment,1
cref_000315,lesson,les_aemt_000315,ref_000002,National EMS Education Standards alignment,1
cref_000316,lesson,les_aemt_000316,ref_000002,National EMS Education Standards alignment,1
cref_000317,lesson,les_aemt_000317,ref_000002,National EMS Education Standards alignment,1
cref_000318,lesson,les_aemt_000318,ref_000002,National EMS Education Standards alignment,1
cref_000319,lesson,les_aemt_000319,ref_000002,National EMS Education Standards alignment,1
cref_000320,lesson,les_aemt_000320,ref_000002,National EMS Education Standards alignment,1
cref_000321,lesson,les_aemt_000321,ref_000002,National EMS Education Standards alignment,1
cref_000322,lesson,les_aemt_000322,ref_000002,National EMS Education Standards alignment,1
cref_000323,lesson,les_aemt_000323,ref_000002,National EMS Education Standards alignment,1
cref_000324,lesson,les_aemt_000324,ref_000002,National EMS Education Standards alignment,1
cref_000325,lesson,les_aemt_000325,ref_000002,National EMS Education Standards alignment,1
cref_000326,lesson,les_aemt_000326,ref_000002,National EMS Education Standards alignment,1
cref_000327,lesson,les_aemt_000327,ref_000002,National EMS Education Standards alignment,1
cref_000328,lesson,les_aemt_000328,ref_000002,National EMS Education Standards alignment,1
cref_000329,lesson,les_aemt_000329,ref_000002,National EMS Education Standards alignment,1
cref_000330,lesson,les_aemt_000330,ref_000002,National EMS Education Standards alignment,1
cref_000331,lesson,les_aemt_000331,ref_000002,National EMS Education Standards alignment,1
cref_000332,lesson,les_aemt_000332,ref_000002,National EMS Education Standards alignment,1
cref_000333,lesson,les_aemt_000333,ref_000002,National EMS Education Standards alignment,1
cref_000334,lesson,les_aemt_000334,ref_000002,National EMS Education Standards alignment,1
cref_000335,lesson,les_aemt_000335,ref_000002,National EMS Education Standards alignment,1
cref_000336,lesson,les_aemt_000336,ref_000002,National EMS Education Standards alignment,1
cref_000337,lesson,les_aemt_000337,ref_000002,National EMS Education Standards alignment,1
cref_000338,lesson,les_aemt_000338,ref_000002,National EMS Education Standards alignment,1
cref_000339,lesson,les_aemt_000339,ref_000002,National EMS Education Standards alignment,1
cref_000340,lesson,les_aemt_000340,ref_000002,National EMS Education Standards alignment,1
cref_000341,lesson,les_aemt_000341,ref_000002,National EMS Education Standards alignment,1
cref_000342,lesson,les_aemt_000342,ref_000002,National EMS Education Standards alignment,1
cref_000343,lesson,les_aemt_000343,ref_000002,National EMS Education Standards alignment,1
cref_000344,lesson,les_aemt_000344,ref_000002,National EMS Education Standards alignment,1
cref_000345,lesson,les_aemt_000345,ref_000002,National EMS Education Standards alignment,1
cref_000346,lesson,les_aemt_000346,ref_000002,National EMS Education Standards alignment,1
cref_000347,lesson,les_aemt_000347,ref_000002,National EMS Education Standards alignment,1
cref_000348,lesson,les_aemt_000348,ref_000002,National EMS Education Standards alignment,1
cref_000349,lesson,les_aemt_000349,ref_000002,National EMS Education Standards alignment,1
cref_000350,lesson,les_aemt_000350,ref_000002,National EMS Education Standards alignment,1
cref_000351,lesson,les_aemt_000351,ref_000002,National EMS Education Standards alignment,1
cref_000352,lesson,les_aemt_000352,ref_000002,National EMS Education Standards alignment,1
