branch_id,scenario_id,from_step_id,trigger_action_pattern,branch_condition,to_step_id,consequence_severity,debrief_note
br_000138,scn_emt_000046,step_000457,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000458,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000139,scn_emt_000047,step_000464,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000465,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000140,scn_emt_000047,step_000465,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000466,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000141,scn_emt_000047,step_000467,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000468,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000142,scn_emt_000048,step_000474,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000475,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000143,scn_emt_000048,step_000475,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000476,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000144,scn_emt_000048,step_000477,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000478,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000145,scn_emt_000049,step_000484,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000485,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000146,scn_emt_000049,step_000485,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000486,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000147,scn_emt_000049,step_000487,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000488,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000148,scn_emt_000050,step_000494,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000495,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000149,scn_emt_000050,step_000495,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000496,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000150,scn_emt_000050,step_000497,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000498,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000151,scn_emt_000051,step_000504,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000505,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000152,scn_emt_000051,step_000505,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000506,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000153,scn_emt_000051,step_000507,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000508,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000154,scn_emt_000052,step_000514,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000515,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000155,scn_emt_000052,step_000515,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000516,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000156,scn_emt_000052,step_000517,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000518,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000157,scn_emt_000053,step_000524,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000525,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000158,scn_emt_000053,step_000525,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000526,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000159,scn_emt_000053,step_000527,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000528,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000160,scn_emt_000054,step_000534,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000535,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000161,scn_emt_000054,step_000535,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000536,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000162,scn_emt_000054,step_000537,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000538,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000163,scn_emt_000055,step_000544,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000545,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000164,scn_emt_000055,step_000545,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000546,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000165,scn_emt_000055,step_000547,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000548,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000166,scn_emt_000056,step_000554,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000555,moderate,Debrief: explain why primary was pivotal and assign remediation.
br_000167,scn_emt_000056,step_000555,misses critical assessment/intervention,Incorrect or delayed priority at immediate_interventions,step_000556,high,Debrief: explain why immediate_interventions was pivotal and assign remediation.
br_000168,scn_emt_000056,step_000557,misses critical assessment/intervention,Incorrect or delayed priority at reassessment,step_000558,moderate,Debrief: explain why reassessment was pivotal and assign remediation.
br_000169,scn_emt_000057,step_000564,misses critical assessment/intervention,Incorrect or delayed priority at primary,step_000565,moderate,Debrief: explain why primary was pivotal and assign remediation.
