frm_id,source_content_type,source_content_id,foundation_id,relation_type,why_this_foundation_matters_here,trigger_threshold,weak_area_followup
frm_000019,lesson,les_emt_000019,fdn_000020,prerequisite,Foundation supports safe interpretation of pulmonary edema cases.,70,Assign foundation review and two related questions.
frm_000020,lesson,les_emt_000020,fdn_000001,prerequisite,Foundation supports safe interpretation of pulmonary edema cases.,70,Assign foundation review and two related questions.
frm_000021,lesson,les_emt_000021,fdn_000002,prerequisite,Foundation supports safe interpretation of anaphylaxis airway cases.,70,Assign foundation review and two related questions.
frm_000022,lesson,les_emt_000022,fdn_000003,prerequisite,Foundation supports safe interpretation of anaphylaxis airway cases.,70,Assign foundation review and two related questions.
frm_000023,lesson,les_emt_000023,fdn_000004,prerequisite,Foundation supports safe interpretation of ventilation monitoring cases.,70,Assign foundation review and two related questions.
frm_000024,lesson,les_emt_000024,fdn_000005,prerequisite,Foundation supports safe interpretation of ventilation monitoring cases.,70,Assign foundation review and two related questions.
frm_000025,lesson,les_emt_000025,fdn_000006,prerequisite,Foundation supports safe interpretation of cardiac anatomy cases.,70,Assign foundation review and two related questions.
frm_000026,lesson,les_emt_000026,fdn_000007,prerequisite,Foundation supports safe interpretation of cardiac anatomy cases.,70,Assign foundation review and two related questions.
frm_000027,lesson,les_emt_000027,fdn_000008,prerequisite,Foundation supports safe interpretation of chest pain cases.,70,Assign foundation review and two related questions.
frm_000028,lesson,les_emt_000028,fdn_000009,prerequisite,Foundation supports safe interpretation of chest pain cases.,70,Assign foundation review and two related questions.
frm_000029,lesson,les_emt_000029,fdn_000010,prerequisite,Foundation supports safe interpretation of acs cases.,70,Assign foundation review and two related questions.
frm_000030,lesson,les_emt_000030,fdn_000011,prerequisite,Foundation supports safe interpretation of acs cases.,70,Assign foundation review and two related questions.
frm_000031,lesson,les_emt_000031,fdn_000012,prerequisite,Foundation supports safe interpretation of heart failure cases.,70,Assign foundation review and two related questions.
frm_000032,lesson,les_emt_000032,fdn_000013,prerequisite,Foundation supports safe interpretation of heart failure cases.,70,Assign foundation review and two related questions.
frm_000033,lesson,les_emt_000033,fdn_000014,prerequisite,Foundation supports safe interpretation of cardiac arrest cases.,70,Assign foundation review and two related questions.
frm_000034,lesson,les_emt_000034,fdn_000015,prerequisite,Foundation supports safe interpretation of cardiac arrest cases.,70,Assign foundation review and two related questions.
frm_000035,lesson,les_emt_000035,fdn_000016,prerequisite,Foundation supports safe interpretation of bradycardia cases.,70,Assign foundation review and two related questions.
frm_000036,lesson,les_emt_000036,fdn_000017,prerequisite,Foundation supports safe interpretation of bradycardia cases.,70,Assign foundation review and two related questions.
frm_000037,lesson,les_emt_000037,fdn_000018,prerequisite,Foundation supports safe interpretation of tachycardia cases.,70,Assign foundation review and two related questions.
frm_000038,lesson,les_emt_000038,fdn_000019,prerequisite,Foundation supports safe interpretation of tachycardia cases.,70,Assign foundation review and two related questions.
frm_000039,lesson,les_emt_000039,fdn_000020,prerequisite,Foundation supports safe interpretation of shockable rhythms cases.,70,Assign foundation review and two related questions.
frm_000040,lesson,les_emt_000040,fdn_000001,prerequisite,Foundation supports safe interpretation of shockable rhythms cases.,70,Assign foundation review and two related questions.
frm_000041,lesson,les_emt_000041,fdn_000002,prerequisite,Foundation supports safe interpretation of ecg basics cases.,70,Assign foundation review and two related questions.
frm_000042,lesson,les_emt_000042,fdn_000003,prerequisite,Foundation supports safe interpretation of ecg basics cases.,70,Assign foundation review and two related questions.
frm_000043,lesson,les_emt_000043,fdn_000004,prerequisite,Foundation supports safe interpretation of twelve lead cases.,70,Assign foundation review and two related questions.
frm_000044,lesson,les_emt_000044,fdn_000005,prerequisite,Foundation supports safe interpretation of twelve lead cases.,70,Assign foundation review and two related questions.
frm_000045,lesson,les_emt_000045,fdn_000006,prerequisite,Foundation supports safe interpretation of stemi recognition cases.,70,Assign foundation review and two related questions.
frm_000046,lesson,les_emt_000046,fdn_000007,prerequisite,Foundation supports safe interpretation of stemi recognition cases.,70,Assign foundation review and two related questions.
frm_000047,lesson,les_emt_000047,fdn_000008,prerequisite,Foundation supports safe interpretation of post rosc cases.,70,Assign foundation review and two related questions.
frm_000048,lesson,les_emt_000048,fdn_000009,prerequisite,Foundation supports safe interpretation of post rosc cases.,70,Assign foundation review and two related questions.
frm_000049,lesson,les_emt_000049,fdn_000010,prerequisite,Foundation supports safe interpretation of bleeding control cases.,70,Assign foundation review and two related questions.
frm_000050,lesson,les_emt_000050,fdn_000011,prerequisite,Foundation supports safe interpretation of bleeding control cases.,70,Assign foundation review and two related questions.
frm_000051,lesson,les_emt_000051,fdn_000012,prerequisite,Foundation supports safe interpretation of shock trauma cases.,70,Assign foundation review and two related questions.
frm_000052,lesson,les_emt_000052,fdn_000013,prerequisite,Foundation supports safe interpretation of shock trauma cases.,70,Assign foundation review and two related questions.
frm_000053,lesson,les_emt_000053,fdn_000014,prerequisite,Foundation supports safe interpretation of head injury cases.,70,Assign foundation review and two related questions.
frm_000054,lesson,les_emt_000054,fdn_000015,prerequisite,Foundation supports safe interpretation of head injury cases.,70,Assign foundation review and two related questions.
frm_000055,lesson,les_emt_000055,fdn_000016,prerequisite,Foundation supports safe interpretation of spinal motion cases.,70,Assign foundation review and two related questions.
frm_000056,lesson,les_emt_000056,fdn_000017,prerequisite,Foundation supports safe interpretation of spinal motion cases.,70,Assign foundation review and two related questions.
frm_000057,lesson,les_emt_000057,fdn_000018,prerequisite,Foundation supports safe interpretation of chest trauma cases.,70,Assign foundation review and two related questions.
frm_000058,lesson,les_emt_000058,fdn_000019,prerequisite,Foundation supports safe interpretation of chest trauma cases.,70,Assign foundation review and two related questions.
frm_000059,lesson,les_emt_000059,fdn_000020,prerequisite,Foundation supports safe interpretation of abdominal trauma cases.,70,Assign foundation review and two related questions.
frm_000060,lesson,les_emt_000060,fdn_000001,prerequisite,Foundation supports safe interpretation of abdominal trauma cases.,70,Assign foundation review and two related questions.
frm_000061,lesson,les_emt_000061,fdn_000002,prerequisite,Foundation supports safe interpretation of pelvic injury cases.,70,Assign foundation review and two related questions.
frm_000062,lesson,les_emt_000062,fdn_000003,prerequisite,Foundation supports safe interpretation of pelvic injury cases.,70,Assign foundation review and two related questions.
frm_000063,lesson,les_emt_000063,fdn_000004,prerequisite,Foundation supports safe interpretation of extremity injury cases.,70,Assign foundation review and two related questions.
frm_000064,lesson,les_emt_000064,fdn_000005,prerequisite,Foundation supports safe interpretation of extremity injury cases.,70,Assign foundation review and two related questions.
frm_000065,lesson,les_emt_000065,fdn_000006,prerequisite,Foundation supports safe interpretation of burns cases.,70,Assign foundation review and two related questions.
frm_000066,lesson,les_emt_000066,fdn_000007,prerequisite,Foundation supports safe interpretation of burns cases.,70,Assign foundation review and two related questions.
frm_000067,lesson,les_emt_000067,fdn_000008,prerequisite,Foundation supports safe interpretation of crush injury cases.,70,Assign foundation review and two related questions.
frm_000068,lesson,les_emt_000068,fdn_000009,prerequisite,Foundation supports safe interpretation of crush injury cases.,70,Assign foundation review and two related questions.
frm_000069,lesson,les_emt_000069,fdn_000010,prerequisite,Foundation supports safe interpretation of trauma triage cases.,70,Assign foundation review and two related questions.
frm_000070,lesson,les_emt_000070,fdn_000011,prerequisite,Foundation supports safe interpretation of trauma triage cases.,70,Assign foundation review and two related questions.
frm_000071,lesson,les_emt_000071,fdn_000012,prerequisite,Foundation supports safe interpretation of special trauma cases.,70,Assign foundation review and two related questions.
frm_000072,lesson,les_emt_000072,fdn_000013,prerequisite,Foundation supports safe interpretation of special trauma cases.,70,Assign foundation review and two related questions.
frm_000073,lesson,les_emt_000073,fdn_000014,prerequisite,Foundation supports safe interpretation of altered mental status cases.,70,Assign foundation review and two related questions.
frm_000074,lesson,les_emt_000074,fdn_000015,prerequisite,Foundation supports safe interpretation of altered mental status cases.,70,Assign foundation review and two related questions.
frm_000075,lesson,les_emt_000075,fdn_000016,prerequisite,Foundation supports safe interpretation of stroke cases.,70,Assign foundation review and two related questions.
frm_000076,lesson,les_emt_000076,fdn_000017,prerequisite,Foundation supports safe interpretation of stroke cases.,70,Assign foundation review and two related questions.
frm_000077,lesson,les_emt_000077,fdn_000018,prerequisite,Foundation supports safe interpretation of seizure cases.,70,Assign foundation review and two related questions.
frm_000078,lesson,les_emt_000078,fdn_000019,prerequisite,Foundation supports safe interpretation of seizure cases.,70,Assign foundation review and two related questions.
frm_000079,lesson,les_emt_000079,fdn_000020,prerequisite,Foundation supports safe interpretation of diabetes cases.,70,Assign foundation review and two related questions.
frm_000080,lesson,les_emt_000080,fdn_000001,prerequisite,Foundation supports safe interpretation of diabetes cases.,70,Assign foundation review and two related questions.
frm_000081,lesson,les_emt_000081,fdn_000002,prerequisite,Foundation supports safe interpretation of toxicology cases.,70,Assign foundation review and two related questions.
frm_000082,lesson,les_emt_000082,fdn_000003,prerequisite,Foundation supports safe interpretation of toxicology cases.,70,Assign foundation review and two related questions.
frm_000083,lesson,les_emt_000083,fdn_000004,prerequisite,Foundation supports safe interpretation of sepsis cases.,70,Assign foundation review and two related questions.
frm_000084,lesson,les_emt_000084,fdn_000005,prerequisite,Foundation supports safe interpretation of sepsis cases.,70,Assign foundation review and two related questions.
frm_000085,lesson,les_emt_000085,fdn_000006,prerequisite,Foundation supports safe interpretation of abdominal pain cases.,70,Assign foundation review and two related questions.
frm_000086,lesson,les_emt_000086,fdn_000007,prerequisite,Foundation supports safe interpretation of abdominal pain cases.,70,Assign foundation review and two related questions.
frm_000087,lesson,les_emt_000087,fdn_000008,prerequisite,Foundation supports safe interpretation of renal cases.,70,Assign foundation review and two related questions.
frm_000088,lesson,les_emt_000088,fdn_000009,prerequisite,Foundation supports safe interpretation of renal cases.,70,Assign foundation review and two related questions.
frm_000089,lesson,les_emt_000089,fdn_000010,prerequisite,Foundation supports safe interpretation of behavioral crisis cases.,70,Assign foundation review and two related questions.
frm_000090,lesson,les_emt_000090,fdn_000011,prerequisite,Foundation supports safe interpretation of behavioral crisis cases.,70,Assign foundation review and two related questions.
frm_000091,lesson,les_emt_000091,fdn_000012,prerequisite,Foundation supports safe interpretation of ob delivery cases.,70,Assign foundation review and two related questions.
frm_000092,lesson,les_emt_000092,fdn_000013,prerequisite,Foundation supports safe interpretation of ob delivery cases.,70,Assign foundation review and two related questions.
frm_000093,lesson,les_emt_000093,fdn_000014,prerequisite,Foundation supports safe interpretation of neonatal resuscitation cases.,70,Assign foundation review and two related questions.
frm_000094,lesson,les_emt_000094,fdn_000015,prerequisite,Foundation supports safe interpretation of neonatal resuscitation cases.,70,Assign foundation review and two related questions.
frm_000095,lesson,les_emt_000095,fdn_000016,prerequisite,Foundation supports safe interpretation of pediatrics cases.,70,Assign foundation review and two related questions.
frm_000096,lesson,les_emt_000096,fdn_000017,prerequisite,Foundation supports safe interpretation of pediatrics cases.,70,Assign foundation review and two related questions.
frm_000097,lesson,les_emt_000097,fdn_000018,prerequisite,Foundation supports safe interpretation of geriatrics cases.,70,Assign foundation review and two related questions.
frm_000098,lesson,les_emt_000098,fdn_000019,prerequisite,Foundation supports safe interpretation of geriatrics cases.,70,Assign foundation review and two related questions.
frm_000099,lesson,les_emt_000099,fdn_000020,prerequisite,Foundation supports safe interpretation of allergy anaphylaxis cases.,70,Assign foundation review and two related questions.
frm_000100,lesson,les_emt_000100,fdn_000001,prerequisite,Foundation supports safe interpretation of allergy anaphylaxis cases.,70,Assign foundation review and two related questions.
frm_000101,lesson,les_emt_000101,fdn_000002,prerequisite,Foundation supports safe interpretation of scene safety cases.,70,Assign foundation review and two related questions.
frm_000102,lesson,les_emt_000102,fdn_000003,prerequisite,Foundation supports safe interpretation of scene safety cases.,70,Assign foundation review and two related questions.
frm_000103,lesson,les_emt_000103,fdn_000004,prerequisite,Foundation supports safe interpretation of ppe infection control cases.,70,Assign foundation review and two related questions.
frm_000104,lesson,les_emt_000104,fdn_000005,prerequisite,Foundation supports safe interpretation of ppe infection control cases.,70,Assign foundation review and two related questions.
frm_000105,lesson,les_emt_000105,fdn_000006,prerequisite,Foundation supports safe interpretation of hazmat awareness cases.,70,Assign foundation review and two related questions.
frm_000106,lesson,les_emt_000106,fdn_000007,prerequisite,Foundation supports safe interpretation of hazmat awareness cases.,70,Assign foundation review and two related questions.
frm_000107,lesson,les_emt_000107,fdn_000008,prerequisite,Foundation supports safe interpretation of mci triage cases.,70,Assign foundation review and two related questions.
frm_000108,lesson,les_emt_000108,fdn_000009,prerequisite,Foundation supports safe interpretation of mci triage cases.,70,Assign foundation review and two related questions.
frm_000109,lesson,les_emt_000109,fdn_000010,prerequisite,Foundation supports safe interpretation of radio report cases.,70,Assign foundation review and two related questions.
frm_000110,lesson,les_emt_000110,fdn_000011,prerequisite,Foundation supports safe interpretation of radio report cases.,70,Assign foundation review and two related questions.
frm_000111,lesson,les_emt_000111,fdn_000012,prerequisite,Foundation supports safe interpretation of documentation cases.,70,Assign foundation review and two related questions.
frm_000112,lesson,les_emt_000112,fdn_000013,prerequisite,Foundation supports safe interpretation of documentation cases.,70,Assign foundation review and two related questions.
frm_000113,lesson,les_emt_000113,fdn_000014,prerequisite,Foundation supports safe interpretation of legal consent cases.,70,Assign foundation review and two related questions.
frm_000114,lesson,les_emt_000114,fdn_000015,prerequisite,Foundation supports safe interpretation of legal consent cases.,70,Assign foundation review and two related questions.
frm_000115,lesson,les_emt_000115,fdn_000016,prerequisite,Foundation supports safe interpretation of refusal cases.,70,Assign foundation review and two related questions.
frm_000116,lesson,les_emt_000116,fdn_000017,prerequisite,Foundation supports safe interpretation of refusal cases.,70,Assign foundation review and two related questions.
frm_000117,lesson,les_emt_000117,fdn_000018,prerequisite,Foundation supports safe interpretation of interfacility cases.,70,Assign foundation review and two related questions.
frm_000118,lesson,les_emt_000118,fdn_000019,prerequisite,Foundation supports safe interpretation of interfacility cases.,70,Assign foundation review and two related questions.
frm_000119,lesson,les_emt_000119,fdn_000020,prerequisite,Foundation supports safe interpretation of wellness resilience cases.,70,Assign foundation review and two related questions.
frm_000120,lesson,les_emt_000120,fdn_000001,prerequisite,Foundation supports safe interpretation of wellness resilience cases.,70,Assign foundation review and two related questions.
frm_000121,lesson,les_emt_000121,fdn_000002,prerequisite,Foundation supports safe interpretation of ambulance ops cases.,70,Assign foundation review and two related questions.
frm_000122,lesson,les_emt_000122,fdn_000003,prerequisite,Foundation supports safe interpretation of ambulance ops cases.,70,Assign foundation review and two related questions.
frm_000123,lesson,les_emt_000123,fdn_000004,prerequisite,Foundation supports safe interpretation of quality improvement cases.,70,Assign foundation review and two related questions.
frm_000124,lesson,les_emt_000124,fdn_000005,prerequisite,Foundation supports safe interpretation of quality improvement cases.,70,Assign foundation review and two related questions.
frm_000125,lesson,les_emt_000125,fdn_000006,prerequisite,Foundation supports safe interpretation of anatomy physiology cases.,70,Assign foundation review and two related questions.
frm_000126,lesson,les_emt_000126,fdn_000007,prerequisite,Foundation supports safe interpretation of anatomy physiology cases.,70,Assign foundation review and two related questions.
frm_000127,lesson,les_emt_000127,fdn_000008,prerequisite,Foundation supports safe interpretation of medical terminology cases.,70,Assign foundation review and two related questions.
frm_000128,lesson,les_emt_000128,fdn_000009,prerequisite,Foundation supports safe interpretation of medical terminology cases.,70,Assign foundation review and two related questions.
frm_000129,lesson,les_emt_000129,fdn_000010,prerequisite,Foundation supports safe interpretation of pathophysiology cases.,70,Assign foundation review and two related questions.
frm_000130,lesson,les_emt_000130,fdn_000011,prerequisite,Foundation supports safe interpretation of pathophysiology cases.,70,Assign foundation review and two related questions.
frm_000131,lesson,les_emt_000131,fdn_000012,prerequisite,Foundation supports safe interpretation of pharmacology basics cases.,70,Assign foundation review and two related questions.
frm_000132,lesson,les_emt_000132,fdn_000013,prerequisite,Foundation supports safe interpretation of pharmacology basics cases.,70,Assign foundation review and two related questions.
frm_000133,lesson,les_emt_000133,fdn_000014,prerequisite,Foundation supports safe interpretation of medication math cases.,70,Assign foundation review and two related questions.
frm_000134,lesson,les_emt_000134,fdn_000015,prerequisite,Foundation supports safe interpretation of medication math cases.,70,Assign foundation review and two related questions.
frm_000135,lesson,les_emt_000135,fdn_000016,prerequisite,Foundation supports safe interpretation of ecg fundamentals cases.,70,Assign foundation review and two related questions.
frm_000136,lesson,les_emt_000136,fdn_000017,prerequisite,Foundation supports safe interpretation of ecg fundamentals cases.,70,Assign foundation review and two related questions.
frm_000137,lesson,les_emt_000137,fdn_000018,prerequisite,Foundation supports safe interpretation of vital signs cases.,70,Assign foundation review and two related questions.
frm_000138,lesson,les_emt_000138,fdn_000019,prerequisite,Foundation supports safe interpretation of vital signs cases.,70,Assign foundation review and two related questions.
frm_000139,lesson,les_emt_000139,fdn_000020,prerequisite,Foundation supports safe interpretation of assessment frameworks cases.,70,Assign foundation review and two related questions.
frm_000140,lesson,les_emt_000140,fdn_000001,prerequisite,Foundation supports safe interpretation of assessment frameworks cases.,70,Assign foundation review and two related questions.
frm_000141,lesson,les_emt_000141,fdn_000002,prerequisite,Foundation supports safe interpretation of communication cases.,70,Assign foundation review and two related questions.
frm_000142,lesson,les_emt_000142,fdn_000003,prerequisite,Foundation supports safe interpretation of communication cases.,70,Assign foundation review and two related questions.
frm_000143,lesson,les_emt_000143,fdn_000004,prerequisite,Foundation supports safe interpretation of ethics cases.,70,Assign foundation review and two related questions.
frm_000144,lesson,les_emt_000144,fdn_000005,prerequisite,Foundation supports safe interpretation of ethics cases.,70,Assign foundation review and two related questions.
frm_000145,lesson,les_aemt_000145,fdn_000006,prerequisite,Foundation supports safe interpretation of airway anatomy cases.,70,Assign foundation review and two related questions.
frm_000146,lesson,les_aemt_000146,fdn_000007,prerequisite,Foundation supports safe interpretation of airway anatomy cases.,70,Assign foundation review and two related questions.
frm_000147,lesson,les_aemt_000147,fdn_000008,prerequisite,Foundation supports safe interpretation of airway anatomy cases.,70,Assign foundation review and two related questions.
frm_000148,lesson,les_aemt_000148,fdn_000009,prerequisite,Foundation supports safe interpretation of airway assessment cases.,70,Assign foundation review and two related questions.
frm_000149,lesson,les_aemt_000149,fdn_000010,prerequisite,Foundation supports safe interpretation of airway assessment cases.,70,Assign foundation review and two related questions.
frm_000150,lesson,les_aemt_000150,fdn_000011,prerequisite,Foundation supports safe interpretation of airway assessment cases.,70,Assign foundation review and two related questions.
frm_000151,lesson,les_aemt_000151,fdn_000012,prerequisite,Foundation supports safe interpretation of oxygen delivery cases.,70,Assign foundation review and two related questions.
frm_000152,lesson,les_aemt_000152,fdn_000013,prerequisite,Foundation supports safe interpretation of oxygen delivery cases.,70,Assign foundation review and two related questions.
frm_000153,lesson,les_aemt_000153,fdn_000014,prerequisite,Foundation supports safe interpretation of oxygen delivery cases.,70,Assign foundation review and two related questions.
frm_000154,lesson,les_aemt_000154,fdn_000015,prerequisite,Foundation supports safe interpretation of bvm ventilation cases.,70,Assign foundation review and two related questions.
frm_000155,lesson,les_aemt_000155,fdn_000016,prerequisite,Foundation supports safe interpretation of bvm ventilation cases.,70,Assign foundation review and two related questions.
frm_000156,lesson,les_aemt_000156,fdn_000017,prerequisite,Foundation supports safe interpretation of bvm ventilation cases.,70,Assign foundation review and two related questions.
frm_000157,lesson,les_aemt_000157,fdn_000018,prerequisite,Foundation supports safe interpretation of suctioning cases.,70,Assign foundation review and two related questions.
frm_000158,lesson,les_aemt_000158,fdn_000019,prerequisite,Foundation supports safe interpretation of suctioning cases.,70,Assign foundation review and two related questions.
frm_000159,lesson,les_aemt_000159,fdn_000020,prerequisite,Foundation supports safe interpretation of suctioning cases.,70,Assign foundation review and two related questions.
frm_000160,lesson,les_aemt_000160,fdn_000001,prerequisite,Foundation supports safe interpretation of adjuncts cases.,70,Assign foundation review and two related questions.
frm_000161,lesson,les_aemt_000161,fdn_000002,prerequisite,Foundation supports safe interpretation of adjuncts cases.,70,Assign foundation review and two related questions.
frm_000162,lesson,les_aemt_000162,fdn_000003,prerequisite,Foundation supports safe interpretation of adjuncts cases.,70,Assign foundation review and two related questions.
frm_000163,lesson,les_aemt_000163,fdn_000004,prerequisite,Foundation supports safe interpretation of cpap cases.,70,Assign foundation review and two related questions.
frm_000164,lesson,les_aemt_000164,fdn_000005,prerequisite,Foundation supports safe interpretation of cpap cases.,70,Assign foundation review and two related questions.
frm_000165,lesson,les_aemt_000165,fdn_000006,prerequisite,Foundation supports safe interpretation of cpap cases.,70,Assign foundation review and two related questions.
frm_000166,lesson,les_aemt_000166,fdn_000007,prerequisite,Foundation supports safe interpretation of respiratory distress cases.,70,Assign foundation review and two related questions.
frm_000167,lesson,les_aemt_000167,fdn_000008,prerequisite,Foundation supports safe interpretation of respiratory distress cases.,70,Assign foundation review and two related questions.
frm_000168,lesson,les_aemt_000168,fdn_000009,prerequisite,Foundation supports safe interpretation of respiratory distress cases.,70,Assign foundation review and two related questions.
frm_000169,lesson,les_aemt_000169,fdn_000010,prerequisite,Foundation supports safe interpretation of asthma copd cases.,70,Assign foundation review and two related questions.
frm_000170,lesson,les_aemt_000170,fdn_000011,prerequisite,Foundation supports safe interpretation of asthma copd cases.,70,Assign foundation review and two related questions.
frm_000171,lesson,les_aemt_000171,fdn_000012,prerequisite,Foundation supports safe interpretation of asthma copd cases.,70,Assign foundation review and two related questions.
frm_000172,lesson,les_aemt_000172,fdn_000013,prerequisite,Foundation supports safe interpretation of pulmonary edema cases.,70,Assign foundation review and two related questions.
frm_000173,lesson,les_aemt_000173,fdn_000014,prerequisite,Foundation supports safe interpretation of pulmonary edema cases.,70,Assign foundation review and two related questions.
frm_000174,lesson,les_aemt_000174,fdn_000015,prerequisite,Foundation supports safe interpretation of pulmonary edema cases.,70,Assign foundation review and two related questions.
frm_000175,lesson,les_aemt_000175,fdn_000016,prerequisite,Foundation supports safe interpretation of anaphylaxis airway cases.,70,Assign foundation review and two related questions.
frm_000176,lesson,les_aemt_000176,fdn_000017,prerequisite,Foundation supports safe interpretation of anaphylaxis airway cases.,70,Assign foundation review and two related questions.
frm_000177,lesson,les_aemt_000177,fdn_000018,prerequisite,Foundation supports safe interpretation of anaphylaxis airway cases.,70,Assign foundation review and two related questions.
frm_000178,lesson,les_aemt_000178,fdn_000019,prerequisite,Foundation supports safe interpretation of ventilation monitoring cases.,70,Assign foundation review and two related questions.
frm_000179,lesson,les_aemt_000179,fdn_000020,prerequisite,Foundation supports safe interpretation of ventilation monitoring cases.,70,Assign foundation review and two related questions.
frm_000180,lesson,les_aemt_000180,fdn_000001,prerequisite,Foundation supports safe interpretation of ventilation monitoring cases.,70,Assign foundation review and two related questions.
frm_000181,lesson,les_aemt_000181,fdn_000002,prerequisite,Foundation supports safe interpretation of cardiac anatomy cases.,70,Assign foundation review and two related questions.
frm_000182,lesson,les_aemt_000182,fdn_000003,prerequisite,Foundation supports safe interpretation of cardiac anatomy cases.,70,Assign foundation review and two related questions.
frm_000183,lesson,les_aemt_000183,fdn_000004,prerequisite,Foundation supports safe interpretation of cardiac anatomy cases.,70,Assign foundation review and two related questions.
frm_000184,lesson,les_aemt_000184,fdn_000005,prerequisite,Foundation supports safe interpretation of chest pain cases.,70,Assign foundation review and two related questions.
frm_000185,lesson,les_aemt_000185,fdn_000006,prerequisite,Foundation supports safe interpretation of chest pain cases.,70,Assign foundation review and two related questions.
frm_000186,lesson,les_aemt_000186,fdn_000007,prerequisite,Foundation supports safe interpretation of chest pain cases.,70,Assign foundation review and two related questions.
frm_000187,lesson,les_aemt_000187,fdn_000008,prerequisite,Foundation supports safe interpretation of acs cases.,70,Assign foundation review and two related questions.
frm_000188,lesson,les_aemt_000188,fdn_000009,prerequisite,Foundation supports safe interpretation of acs cases.,70,Assign foundation review and two related questions.
frm_000189,lesson,les_aemt_000189,fdn_000010,prerequisite,Foundation supports safe interpretation of acs cases.,70,Assign foundation review and two related questions.
frm_000190,lesson,les_aemt_000190,fdn_000011,prerequisite,Foundation supports safe interpretation of heart failure cases.,70,Assign foundation review and two related questions.
frm_000191,lesson,les_aemt_000191,fdn_000012,prerequisite,Foundation supports safe interpretation of heart failure cases.,70,Assign foundation review and two related questions.
frm_000192,lesson,les_aemt_000192,fdn_000013,prerequisite,Foundation supports safe interpretation of heart failure cases.,70,Assign foundation review and two related questions.
frm_000193,lesson,les_aemt_000193,fdn_000014,prerequisite,Foundation supports safe interpretation of cardiac arrest cases.,70,Assign foundation review and two related questions.
frm_000194,lesson,les_aemt_000194,fdn_000015,prerequisite,Foundation supports safe interpretation of cardiac arrest cases.,70,Assign foundation review and two related questions.
frm_000195,lesson,les_aemt_000195,fdn_000016,prerequisite,Foundation supports safe interpretation of cardiac arrest cases.,70,Assign foundation review and two related questions.
frm_000196,lesson,les_aemt_000196,fdn_000017,prerequisite,Foundation supports safe interpretation of bradycardia cases.,70,Assign foundation review and two related questions.
frm_000197,lesson,les_aemt_000197,fdn_000018,prerequisite,Foundation supports safe interpretation of bradycardia cases.,70,Assign foundation review and two related questions.
frm_000198,lesson,les_aemt_000198,fdn_000019,prerequisite,Foundation supports safe interpretation of bradycardia cases.,70,Assign foundation review and two related questions.
frm_000199,lesson,les_aemt_000199,fdn_000020,prerequisite,Foundation supports safe interpretation of tachycardia cases.,70,Assign foundation review and two related questions.
