rationale_id,question_id,option_id_nullable,rationale_type,rationale_text
rat_000083,q_emt_000017,opt_000067,incorrect_option,The distractors delay assessment or treatment.
rat_000084,q_emt_000017,opt_000068,incorrect_option,The distractors delay assessment or treatment.
rat_000085,q_emt_000017,,teaching_point,Review Bradycardia and repeat a linked scenario if missed twice.
rat_000086,q_emt_000018,opt_000069,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000087,q_emt_000018,opt_000070,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000088,q_emt_000018,opt_000071,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000089,q_emt_000018,opt_000072,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000090,q_emt_000018,,teaching_point,Review Tachycardia and repeat a linked scenario if missed twice.
rat_000091,q_emt_000019,opt_000073,incorrect_option,The other actions delay patient-centered care.
rat_000092,q_emt_000019,opt_000074,incorrect_option,The other actions delay patient-centered care.
rat_000093,q_emt_000019,opt_000075,incorrect_option,The other actions delay patient-centered care.
rat_000094,q_emt_000019,opt_000076,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000095,q_emt_000019,,teaching_point,Review Shockable Rhythms and repeat a linked scenario if missed twice.
rat_000096,q_emt_000020,opt_000077,correct,Trends and response guide receiving care.
rat_000097,q_emt_000020,opt_000078,incorrect_option,The other options are irrelevant or unsafe.
rat_000098,q_emt_000020,opt_000079,incorrect_option,The other options are irrelevant or unsafe.
rat_000099,q_emt_000020,opt_000080,incorrect_option,The other options are irrelevant or unsafe.
rat_000100,q_emt_000020,,teaching_point,Review Ecg Basics and repeat a linked scenario if missed twice.
rat_000101,q_emt_000021,opt_000081,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000102,q_emt_000021,opt_000082,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000103,q_emt_000021,opt_000083,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000104,q_emt_000021,opt_000084,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000105,q_emt_000021,,teaching_point,Review Twelve Lead and repeat a linked scenario if missed twice.
rat_000106,q_emt_000022,opt_000085,incorrect_option,The distractors delay assessment or treatment.
rat_000107,q_emt_000022,opt_000086,correct,Primary assessment and life threats come before detailed history.
rat_000108,q_emt_000022,opt_000087,incorrect_option,The distractors delay assessment or treatment.
rat_000109,q_emt_000022,opt_000088,incorrect_option,The distractors delay assessment or treatment.
rat_000110,q_emt_000022,,teaching_point,Review Stemi Recognition and repeat a linked scenario if missed twice.
rat_000111,q_emt_000023,opt_000089,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000112,q_emt_000023,opt_000090,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000113,q_emt_000023,opt_000091,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000114,q_emt_000023,opt_000092,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000115,q_emt_000023,,teaching_point,Review Post Rosc and repeat a linked scenario if missed twice.
rat_000116,q_emt_000024,opt_000093,incorrect_option,The other actions delay patient-centered care.
rat_000117,q_emt_000024,opt_000094,incorrect_option,The other actions delay patient-centered care.
rat_000118,q_emt_000024,opt_000095,incorrect_option,The other actions delay patient-centered care.
rat_000119,q_emt_000024,opt_000096,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000120,q_emt_000024,,teaching_point,Review Bleeding Control and repeat a linked scenario if missed twice.
rat_000121,q_emt_000025,opt_000097,correct,Trends and response guide receiving care.
rat_000122,q_emt_000025,opt_000098,incorrect_option,The other options are irrelevant or unsafe.
rat_000123,q_emt_000025,opt_000099,incorrect_option,The other options are irrelevant or unsafe.
rat_000124,q_emt_000025,opt_000100,incorrect_option,The other options are irrelevant or unsafe.
rat_000125,q_emt_000025,,teaching_point,Review Shock Trauma and repeat a linked scenario if missed twice.
rat_000126,q_emt_000026,opt_000101,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000127,q_emt_000026,opt_000102,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000128,q_emt_000026,opt_000103,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000129,q_emt_000026,opt_000104,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000130,q_emt_000026,,teaching_point,Review Head Injury and repeat a linked scenario if missed twice.
rat_000131,q_emt_000027,opt_000105,incorrect_option,The distractors delay assessment or treatment.
rat_000132,q_emt_000027,opt_000106,correct,Primary assessment and life threats come before detailed history.
rat_000133,q_emt_000027,opt_000107,incorrect_option,The distractors delay assessment or treatment.
rat_000134,q_emt_000027,opt_000108,incorrect_option,The distractors delay assessment or treatment.
rat_000135,q_emt_000027,,teaching_point,Review Spinal Motion and repeat a linked scenario if missed twice.
rat_000136,q_emt_000028,opt_000109,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000137,q_emt_000028,opt_000110,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000138,q_emt_000028,opt_000111,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000139,q_emt_000028,opt_000112,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000140,q_emt_000028,,teaching_point,Review Chest Trauma and repeat a linked scenario if missed twice.
rat_000141,q_emt_000029,opt_000113,incorrect_option,The other actions delay patient-centered care.
rat_000142,q_emt_000029,opt_000114,incorrect_option,The other actions delay patient-centered care.
rat_000143,q_emt_000029,opt_000115,incorrect_option,The other actions delay patient-centered care.
rat_000144,q_emt_000029,opt_000116,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000145,q_emt_000029,,teaching_point,Review Abdominal Trauma and repeat a linked scenario if missed twice.
rat_000146,q_emt_000030,opt_000117,correct,Trends and response guide receiving care.
rat_000147,q_emt_000030,opt_000118,incorrect_option,The other options are irrelevant or unsafe.
rat_000148,q_emt_000030,opt_000119,incorrect_option,The other options are irrelevant or unsafe.
rat_000149,q_emt_000030,opt_000120,incorrect_option,The other options are irrelevant or unsafe.
rat_000150,q_emt_000030,,teaching_point,Review Pelvic Injury and repeat a linked scenario if missed twice.
rat_000151,q_emt_000031,opt_000121,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000152,q_emt_000031,opt_000122,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000153,q_emt_000031,opt_000123,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000154,q_emt_000031,opt_000124,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000155,q_emt_000031,,teaching_point,Review Extremity Injury and repeat a linked scenario if missed twice.
rat_000156,q_emt_000032,opt_000125,incorrect_option,The distractors delay assessment or treatment.
rat_000157,q_emt_000032,opt_000126,correct,Primary assessment and life threats come before detailed history.
rat_000158,q_emt_000032,opt_000127,incorrect_option,The distractors delay assessment or treatment.
rat_000159,q_emt_000032,opt_000128,incorrect_option,The distractors delay assessment or treatment.
rat_000160,q_emt_000032,,teaching_point,Review Burns and repeat a linked scenario if missed twice.
rat_000161,q_emt_000033,opt_000129,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000162,q_emt_000033,opt_000130,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000163,q_emt_000033,opt_000131,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000164,q_emt_000033,opt_000132,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000165,q_emt_000033,,teaching_point,Review Crush Injury and repeat a linked scenario if missed twice.
rat_000166,q_emt_000034,opt_000133,incorrect_option,The other actions delay patient-centered care.
rat_000167,q_emt_000034,opt_000134,incorrect_option,The other actions delay patient-centered care.
rat_000168,q_emt_000034,opt_000135,incorrect_option,The other actions delay patient-centered care.
rat_000169,q_emt_000034,opt_000136,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000170,q_emt_000034,,teaching_point,Review Trauma Triage and repeat a linked scenario if missed twice.
rat_000171,q_emt_000035,opt_000137,correct,Trends and response guide receiving care.
rat_000172,q_emt_000035,opt_000138,incorrect_option,The other options are irrelevant or unsafe.
rat_000173,q_emt_000035,opt_000139,incorrect_option,The other options are irrelevant or unsafe.
rat_000174,q_emt_000035,opt_000140,incorrect_option,The other options are irrelevant or unsafe.
rat_000175,q_emt_000035,,teaching_point,Review Special Trauma and repeat a linked scenario if missed twice.
rat_000176,q_emt_000036,opt_000141,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000177,q_emt_000036,opt_000142,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000178,q_emt_000036,opt_000143,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000179,q_emt_000036,opt_000144,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000180,q_emt_000036,,teaching_point,Review Altered Mental Status and repeat a linked scenario if missed twice.
rat_000181,q_emt_000037,opt_000145,incorrect_option,The distractors delay assessment or treatment.
rat_000182,q_emt_000037,opt_000146,correct,Primary assessment and life threats come before detailed history.
rat_000183,q_emt_000037,opt_000147,incorrect_option,The distractors delay assessment or treatment.
rat_000184,q_emt_000037,opt_000148,incorrect_option,The distractors delay assessment or treatment.
rat_000185,q_emt_000037,,teaching_point,Review Stroke and repeat a linked scenario if missed twice.
rat_000186,q_emt_000038,opt_000149,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000187,q_emt_000038,opt_000150,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000188,q_emt_000038,opt_000151,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000189,q_emt_000038,opt_000152,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000190,q_emt_000038,,teaching_point,Review Seizure and repeat a linked scenario if missed twice.
rat_000191,q_emt_000039,opt_000153,incorrect_option,The other actions delay patient-centered care.
rat_000192,q_emt_000039,opt_000154,incorrect_option,The other actions delay patient-centered care.
rat_000193,q_emt_000039,opt_000155,incorrect_option,The other actions delay patient-centered care.
rat_000194,q_emt_000039,opt_000156,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000195,q_emt_000039,,teaching_point,Review Diabetes and repeat a linked scenario if missed twice.
rat_000196,q_emt_000040,opt_000157,correct,Trends and response guide receiving care.
rat_000197,q_emt_000040,opt_000158,incorrect_option,The other options are irrelevant or unsafe.
rat_000198,q_emt_000040,opt_000159,incorrect_option,The other options are irrelevant or unsafe.
rat_000199,q_emt_000040,opt_000160,incorrect_option,The other options are irrelevant or unsafe.
rat_000200,q_emt_000040,,teaching_point,Review Toxicology and repeat a linked scenario if missed twice.
rat_000201,q_emt_000041,opt_000161,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000202,q_emt_000041,opt_000162,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000203,q_emt_000041,opt_000163,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000204,q_emt_000041,opt_000164,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000205,q_emt_000041,,teaching_point,Review Sepsis and repeat a linked scenario if missed twice.
rat_000206,q_emt_000042,opt_000165,incorrect_option,The distractors delay assessment or treatment.
rat_000207,q_emt_000042,opt_000166,correct,Primary assessment and life threats come before detailed history.
rat_000208,q_emt_000042,opt_000167,incorrect_option,The distractors delay assessment or treatment.
rat_000209,q_emt_000042,opt_000168,incorrect_option,The distractors delay assessment or treatment.
rat_000210,q_emt_000042,,teaching_point,Review Abdominal Pain and repeat a linked scenario if missed twice.
rat_000211,q_emt_000043,opt_000169,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000212,q_emt_000043,opt_000170,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000213,q_emt_000043,opt_000171,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000214,q_emt_000043,opt_000172,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000215,q_emt_000043,,teaching_point,Review Renal and repeat a linked scenario if missed twice.
rat_000216,q_emt_000044,opt_000173,incorrect_option,The other actions delay patient-centered care.
rat_000217,q_emt_000044,opt_000174,incorrect_option,The other actions delay patient-centered care.
rat_000218,q_emt_000044,opt_000175,incorrect_option,The other actions delay patient-centered care.
rat_000219,q_emt_000044,opt_000176,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000220,q_emt_000044,,teaching_point,Review Behavioral Crisis and repeat a linked scenario if missed twice.
rat_000221,q_emt_000045,opt_000177,correct,Trends and response guide receiving care.
rat_000222,q_emt_000045,opt_000178,incorrect_option,The other options are irrelevant or unsafe.
rat_000223,q_emt_000045,opt_000179,incorrect_option,The other options are irrelevant or unsafe.
rat_000224,q_emt_000045,opt_000180,incorrect_option,The other options are irrelevant or unsafe.
rat_000225,q_emt_000045,,teaching_point,Review Ob Delivery and repeat a linked scenario if missed twice.
rat_000226,q_emt_000046,opt_000181,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000227,q_emt_000046,opt_000182,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000228,q_emt_000046,opt_000183,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000229,q_emt_000046,opt_000184,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000230,q_emt_000046,,teaching_point,Review Neonatal Resuscitation and repeat a linked scenario if missed twice.
rat_000231,q_emt_000047,opt_000185,incorrect_option,The distractors delay assessment or treatment.
rat_000232,q_emt_000047,opt_000186,correct,Primary assessment and life threats come before detailed history.
rat_000233,q_emt_000047,opt_000187,incorrect_option,The distractors delay assessment or treatment.
rat_000234,q_emt_000047,opt_000188,incorrect_option,The distractors delay assessment or treatment.
rat_000235,q_emt_000047,,teaching_point,Review Pediatrics and repeat a linked scenario if missed twice.
rat_000236,q_emt_000048,opt_000189,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000237,q_emt_000048,opt_000190,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000238,q_emt_000048,opt_000191,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000239,q_emt_000048,opt_000192,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000240,q_emt_000048,,teaching_point,Review Geriatrics and repeat a linked scenario if missed twice.
rat_000241,q_emt_000049,opt_000193,incorrect_option,The other actions delay patient-centered care.
rat_000242,q_emt_000049,opt_000194,incorrect_option,The other actions delay patient-centered care.
rat_000243,q_emt_000049,opt_000195,incorrect_option,The other actions delay patient-centered care.
rat_000244,q_emt_000049,opt_000196,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000245,q_emt_000049,,teaching_point,Review Allergy Anaphylaxis and repeat a linked scenario if missed twice.
rat_000246,q_emt_000050,opt_000197,correct,Trends and response guide receiving care.
rat_000247,q_emt_000050,opt_000198,incorrect_option,The other options are irrelevant or unsafe.
rat_000248,q_emt_000050,opt_000199,incorrect_option,The other options are irrelevant or unsafe.
rat_000249,q_emt_000050,opt_000200,incorrect_option,The other options are irrelevant or unsafe.
rat_000250,q_emt_000050,,teaching_point,Review Scene Safety and repeat a linked scenario if missed twice.
rat_000251,q_emt_000051,opt_000201,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000252,q_emt_000051,opt_000202,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000253,q_emt_000051,opt_000203,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000254,q_emt_000051,opt_000204,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000255,q_emt_000051,,teaching_point,Review Ppe Infection Control and repeat a linked scenario if missed twice.
rat_000256,q_emt_000052,opt_000205,incorrect_option,The distractors delay assessment or treatment.
rat_000257,q_emt_000052,opt_000206,correct,Primary assessment and life threats come before detailed history.
rat_000258,q_emt_000052,opt_000207,incorrect_option,The distractors delay assessment or treatment.
rat_000259,q_emt_000052,opt_000208,incorrect_option,The distractors delay assessment or treatment.
rat_000260,q_emt_000052,,teaching_point,Review Hazmat Awareness and repeat a linked scenario if missed twice.
rat_000261,q_emt_000053,opt_000209,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000262,q_emt_000053,opt_000210,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000263,q_emt_000053,opt_000211,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000264,q_emt_000053,opt_000212,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000265,q_emt_000053,,teaching_point,Review Mci Triage and repeat a linked scenario if missed twice.
rat_000266,q_emt_000054,opt_000213,incorrect_option,The other actions delay patient-centered care.
rat_000267,q_emt_000054,opt_000214,incorrect_option,The other actions delay patient-centered care.
rat_000268,q_emt_000054,opt_000215,incorrect_option,The other actions delay patient-centered care.
rat_000269,q_emt_000054,opt_000216,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000270,q_emt_000054,,teaching_point,Review Radio Report and repeat a linked scenario if missed twice.
rat_000271,q_emt_000055,opt_000217,correct,Trends and response guide receiving care.
rat_000272,q_emt_000055,opt_000218,incorrect_option,The other options are irrelevant or unsafe.
rat_000273,q_emt_000055,opt_000219,incorrect_option,The other options are irrelevant or unsafe.
rat_000274,q_emt_000055,opt_000220,incorrect_option,The other options are irrelevant or unsafe.
rat_000275,q_emt_000055,,teaching_point,Review Documentation and repeat a linked scenario if missed twice.
rat_000276,q_emt_000056,opt_000221,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000277,q_emt_000056,opt_000222,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000278,q_emt_000056,opt_000223,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000279,q_emt_000056,opt_000224,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000280,q_emt_000056,,teaching_point,Review Legal Consent and repeat a linked scenario if missed twice.
rat_000281,q_emt_000057,opt_000225,incorrect_option,The distractors delay assessment or treatment.
rat_000282,q_emt_000057,opt_000226,correct,Primary assessment and life threats come before detailed history.
rat_000283,q_emt_000057,opt_000227,incorrect_option,The distractors delay assessment or treatment.
rat_000284,q_emt_000057,opt_000228,incorrect_option,The distractors delay assessment or treatment.
rat_000285,q_emt_000057,,teaching_point,Review Refusal and repeat a linked scenario if missed twice.
rat_000286,q_emt_000058,opt_000229,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000287,q_emt_000058,opt_000230,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000288,q_emt_000058,opt_000231,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000289,q_emt_000058,opt_000232,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000290,q_emt_000058,,teaching_point,Review Interfacility and repeat a linked scenario if missed twice.
rat_000291,q_emt_000059,opt_000233,incorrect_option,The other actions delay patient-centered care.
rat_000292,q_emt_000059,opt_000234,incorrect_option,The other actions delay patient-centered care.
rat_000293,q_emt_000059,opt_000235,incorrect_option,The other actions delay patient-centered care.
rat_000294,q_emt_000059,opt_000236,correct,"Deterioration requires reassessment, intervention, and communication."
rat_000295,q_emt_000059,,teaching_point,Review Wellness Resilience and repeat a linked scenario if missed twice.
rat_000296,q_emt_000060,opt_000237,correct,Trends and response guide receiving care.
rat_000297,q_emt_000060,opt_000238,incorrect_option,The other options are irrelevant or unsafe.
rat_000298,q_emt_000060,opt_000239,incorrect_option,The other options are irrelevant or unsafe.
rat_000299,q_emt_000060,opt_000240,incorrect_option,The other options are irrelevant or unsafe.
rat_000300,q_emt_000060,,teaching_point,Review Ambulance Ops and repeat a linked scenario if missed twice.
rat_000301,q_emt_000061,opt_000241,correct,Airway compromise threatens oxygenation and ventilation first.
rat_000302,q_emt_000061,opt_000242,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000303,q_emt_000061,opt_000243,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000304,q_emt_000061,opt_000244,incorrect_option,The other options may matter but are not the highest immediate priority.
rat_000305,q_emt_000061,,teaching_point,Review Quality Improvement and repeat a linked scenario if missed twice.
rat_000306,q_emt_000062,opt_000245,incorrect_option,The distractors delay assessment or treatment.
rat_000307,q_emt_000062,opt_000246,correct,Primary assessment and life threats come before detailed history.
rat_000308,q_emt_000062,opt_000247,incorrect_option,The distractors delay assessment or treatment.
rat_000309,q_emt_000062,opt_000248,incorrect_option,The distractors delay assessment or treatment.
rat_000310,q_emt_000062,,teaching_point,Review Anatomy Physiology and repeat a linked scenario if missed twice.
rat_000311,q_emt_000063,opt_000249,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
rat_000312,q_emt_000063,opt_000250,incorrect_option,The other choices alone do not carry the same immediate acuity.
rat_000313,q_emt_000063,opt_000251,correct,Hypotension and altered mental status suggest poor perfusion or serious illness.
