lesson_id,module_id,taxonomy_id,level,title,short_summary,why_it_matters,must_know_points,red_flags,contraindications_or_dangers,common_mistakes,field_pearls,difficulty_1_to_5,verification_status,review_date,national_vs_local_flag,deprecated_flag
les_emt_000014,mod_emt_000012,tax_000008,emt,Recognition and red flags in cpap,"Learn how to identify, prioritize, and manage cpap at the EMT level.",Cpap matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000015,mod_emt_000012,tax_000009,emt,Assessment priorities for respiratory distress,"Learn how to identify, prioritize, and manage respiratory distress at the EMT level.",Respiratory Distress matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000016,mod_emt_000012,tax_000009,emt,Recognition and red flags in respiratory distress,"Learn how to identify, prioritize, and manage respiratory distress at the EMT level.",Respiratory Distress matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000017,mod_emt_000012,tax_000010,emt,Assessment priorities for asthma copd,"Learn how to identify, prioritize, and manage asthma copd at the EMT level.",Asthma Copd matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000018,mod_emt_000012,tax_000010,emt,Recognition and red flags in asthma copd,"Learn how to identify, prioritize, and manage asthma copd at the EMT level.",Asthma Copd matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000019,mod_emt_000012,tax_000011,emt,Assessment priorities for pulmonary edema,"Learn how to identify, prioritize, and manage pulmonary edema at the EMT level.",Pulmonary Edema matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000020,mod_emt_000012,tax_000011,emt,Recognition and red flags in pulmonary edema,"Learn how to identify, prioritize, and manage pulmonary edema at the EMT level.",Pulmonary Edema matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000021,mod_emt_000012,tax_000012,emt,Assessment priorities for anaphylaxis airway,"Learn how to identify, prioritize, and manage anaphylaxis airway at the EMT level.",Anaphylaxis Airway matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000022,mod_emt_000012,tax_000012,emt,Recognition and red flags in anaphylaxis airway,"Learn how to identify, prioritize, and manage anaphylaxis airway at the EMT level.",Anaphylaxis Airway matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000023,mod_emt_000012,tax_000013,emt,Assessment priorities for ventilation monitoring,"Learn how to identify, prioritize, and manage ventilation monitoring at the EMT level.",Ventilation Monitoring matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000024,mod_emt_000012,tax_000013,emt,Recognition and red flags in ventilation monitoring,"Learn how to identify, prioritize, and manage ventilation monitoring at the EMT level.",Ventilation Monitoring matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000025,mod_emt_000012,tax_000015,emt,Assessment priorities for cardiac anatomy,"Learn how to identify, prioritize, and manage cardiac anatomy at the EMT level.",Cardiac Anatomy matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000026,mod_emt_000012,tax_000015,emt,Recognition and red flags in cardiac anatomy,"Learn how to identify, prioritize, and manage cardiac anatomy at the EMT level.",Cardiac Anatomy matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000027,mod_emt_000012,tax_000016,emt,Assessment priorities for chest pain,"Learn how to identify, prioritize, and manage chest pain at the EMT level.",Chest Pain matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000028,mod_emt_000012,tax_000016,emt,Recognition and red flags in chest pain,"Learn how to identify, prioritize, and manage chest pain at the EMT level.",Chest Pain matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000029,mod_emt_000012,tax_000017,emt,Assessment priorities for acs,"Learn how to identify, prioritize, and manage acs at the EMT level.",Acs matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000030,mod_emt_000012,tax_000017,emt,Recognition and red flags in acs,"Learn how to identify, prioritize, and manage acs at the EMT level.",Acs matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000031,mod_emt_000012,tax_000018,emt,Assessment priorities for heart failure,"Learn how to identify, prioritize, and manage heart failure at the EMT level.",Heart Failure matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000032,mod_emt_000012,tax_000018,emt,Recognition and red flags in heart failure,"Learn how to identify, prioritize, and manage heart failure at the EMT level.",Heart Failure matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000033,mod_emt_000012,tax_000019,emt,Assessment priorities for cardiac arrest,"Learn how to identify, prioritize, and manage cardiac arrest at the EMT level.",Cardiac Arrest matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000034,mod_emt_000012,tax_000019,emt,Recognition and red flags in cardiac arrest,"Learn how to identify, prioritize, and manage cardiac arrest at the EMT level.",Cardiac Arrest matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000035,mod_emt_000012,tax_000020,emt,Assessment priorities for bradycardia,"Learn how to identify, prioritize, and manage bradycardia at the EMT level.",Bradycardia matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000036,mod_emt_000012,tax_000020,emt,Recognition and red flags in bradycardia,"Learn how to identify, prioritize, and manage bradycardia at the EMT level.",Bradycardia matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000037,mod_emt_000012,tax_000021,emt,Assessment priorities for tachycardia,"Learn how to identify, prioritize, and manage tachycardia at the EMT level.",Tachycardia matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000038,mod_emt_000012,tax_000021,emt,Recognition and red flags in tachycardia,"Learn how to identify, prioritize, and manage tachycardia at the EMT level.",Tachycardia matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000039,mod_emt_000012,tax_000022,emt,Assessment priorities for shockable rhythms,"Learn how to identify, prioritize, and manage shockable rhythms at the EMT level.",Shockable Rhythms matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000040,mod_emt_000012,tax_000022,emt,Recognition and red flags in shockable rhythms,"Learn how to identify, prioritize, and manage shockable rhythms at the EMT level.",Shockable Rhythms matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000041,mod_emt_000012,tax_000023,emt,Assessment priorities for ecg basics,"Learn how to identify, prioritize, and manage ecg basics at the EMT level.",Ecg Basics matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000042,mod_emt_000012,tax_000023,emt,Recognition and red flags in ecg basics,"Learn how to identify, prioritize, and manage ecg basics at the EMT level.",Ecg Basics matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
les_emt_000043,mod_emt_000012,tax_000024,emt,Assessment priorities for twelve lead,"Learn how to identify, prioritize, and manage twelve lead at the EMT level.",Twelve Lead matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,2,draft,2026-05-01,core,False
les_emt_000044,mod_emt_000012,tax_000024,emt,Recognition and red flags in twelve lead,"Learn how to identify, prioritize, and manage twelve lead at the EMT level.",Twelve Lead matters because poor recognition can delay critical care and transport decisions.,"Use scene safety, primary assessment, vital signs, patient story, red flags, reassessment, and local protocol.","Severe distress, altered mental status, poor perfusion, hypotension, cyanosis, chest pain, neuro deficit, abnormal breathing.",Do not exceed scope; avoid tunnel vision; verify contraindications and reassess after interventions.,"Skipping primary assessment, ignoring trends, treating numbers instead of patient, forgetting pediatric differences.",Make one priority decision at a time; explain why each intervention changes outcome.,3,draft,2026-05-01,core,False
