option_id,question_id,option_key,option_text,display_order,is_correct
opt_000128,q_emt_000032,D,Wait for ALS before touching the patient,4,False
opt_000129,q_emt_000033,A,Hypotension,1,True
opt_000130,q_emt_000033,B,Mild isolated nausea,2,False
opt_000131,q_emt_000033,C,Altered mental status,3,True
opt_000132,q_emt_000033,D,Normal capillary refill,4,False
opt_000133,q_emt_000034,A,Finish the narrative,1,False
opt_000134,q_emt_000034,B,Call the supervisor first,2,False
opt_000135,q_emt_000034,C,Ignore changes if destination is close,3,False
opt_000136,q_emt_000034,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000137,q_emt_000035,A,Trend in vitals and response to treatment,1,True
opt_000138,q_emt_000035,B,Your lunch status,2,False
opt_000139,q_emt_000035,C,Unverified bystander rumor,3,False
opt_000140,q_emt_000035,D,Exact brand of stretcher,4,False
opt_000141,q_emt_000036,A,Airway compromise,1,True
opt_000142,q_emt_000036,B,Mild anxiety,2,False
opt_000143,q_emt_000036,C,Normal skin color,3,False
opt_000144,q_emt_000036,D,Stable vital signs,4,False
opt_000145,q_emt_000037,A,Ask a detailed medication history,1,False
opt_000146,q_emt_000037,B,Perform a primary assessment and correct life threats,2,True
opt_000147,q_emt_000037,C,Complete the refusal form,3,False
opt_000148,q_emt_000037,D,Wait for ALS before touching the patient,4,False
opt_000149,q_emt_000038,A,Hypotension,1,True
opt_000150,q_emt_000038,B,Mild isolated nausea,2,False
opt_000151,q_emt_000038,C,Altered mental status,3,True
opt_000152,q_emt_000038,D,Normal capillary refill,4,False
opt_000153,q_emt_000039,A,Finish the narrative,1,False
opt_000154,q_emt_000039,B,Call the supervisor first,2,False
opt_000155,q_emt_000039,C,Ignore changes if destination is close,3,False
opt_000156,q_emt_000039,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000157,q_emt_000040,A,Trend in vitals and response to treatment,1,True
opt_000158,q_emt_000040,B,Your lunch status,2,False
opt_000159,q_emt_000040,C,Unverified bystander rumor,3,False
opt_000160,q_emt_000040,D,Exact brand of stretcher,4,False
opt_000161,q_emt_000041,A,Airway compromise,1,True
opt_000162,q_emt_000041,B,Mild anxiety,2,False
opt_000163,q_emt_000041,C,Normal skin color,3,False
opt_000164,q_emt_000041,D,Stable vital signs,4,False
opt_000165,q_emt_000042,A,Ask a detailed medication history,1,False
opt_000166,q_emt_000042,B,Perform a primary assessment and correct life threats,2,True
opt_000167,q_emt_000042,C,Complete the refusal form,3,False
opt_000168,q_emt_000042,D,Wait for ALS before touching the patient,4,False
opt_000169,q_emt_000043,A,Hypotension,1,True
opt_000170,q_emt_000043,B,Mild isolated nausea,2,False
opt_000171,q_emt_000043,C,Altered mental status,3,True
opt_000172,q_emt_000043,D,Normal capillary refill,4,False
opt_000173,q_emt_000044,A,Finish the narrative,1,False
opt_000174,q_emt_000044,B,Call the supervisor first,2,False
opt_000175,q_emt_000044,C,Ignore changes if destination is close,3,False
opt_000176,q_emt_000044,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000177,q_emt_000045,A,Trend in vitals and response to treatment,1,True
opt_000178,q_emt_000045,B,Your lunch status,2,False
opt_000179,q_emt_000045,C,Unverified bystander rumor,3,False
opt_000180,q_emt_000045,D,Exact brand of stretcher,4,False
opt_000181,q_emt_000046,A,Airway compromise,1,True
opt_000182,q_emt_000046,B,Mild anxiety,2,False
opt_000183,q_emt_000046,C,Normal skin color,3,False
opt_000184,q_emt_000046,D,Stable vital signs,4,False
opt_000185,q_emt_000047,A,Ask a detailed medication history,1,False
opt_000186,q_emt_000047,B,Perform a primary assessment and correct life threats,2,True
opt_000187,q_emt_000047,C,Complete the refusal form,3,False
opt_000188,q_emt_000047,D,Wait for ALS before touching the patient,4,False
opt_000189,q_emt_000048,A,Hypotension,1,True
opt_000190,q_emt_000048,B,Mild isolated nausea,2,False
opt_000191,q_emt_000048,C,Altered mental status,3,True
opt_000192,q_emt_000048,D,Normal capillary refill,4,False
opt_000193,q_emt_000049,A,Finish the narrative,1,False
opt_000194,q_emt_000049,B,Call the supervisor first,2,False
opt_000195,q_emt_000049,C,Ignore changes if destination is close,3,False
opt_000196,q_emt_000049,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000197,q_emt_000050,A,Trend in vitals and response to treatment,1,True
opt_000198,q_emt_000050,B,Your lunch status,2,False
opt_000199,q_emt_000050,C,Unverified bystander rumor,3,False
opt_000200,q_emt_000050,D,Exact brand of stretcher,4,False
opt_000201,q_emt_000051,A,Airway compromise,1,True
opt_000202,q_emt_000051,B,Mild anxiety,2,False
opt_000203,q_emt_000051,C,Normal skin color,3,False
opt_000204,q_emt_000051,D,Stable vital signs,4,False
opt_000205,q_emt_000052,A,Ask a detailed medication history,1,False
opt_000206,q_emt_000052,B,Perform a primary assessment and correct life threats,2,True
opt_000207,q_emt_000052,C,Complete the refusal form,3,False
opt_000208,q_emt_000052,D,Wait for ALS before touching the patient,4,False
opt_000209,q_emt_000053,A,Hypotension,1,True
opt_000210,q_emt_000053,B,Mild isolated nausea,2,False
opt_000211,q_emt_000053,C,Altered mental status,3,True
opt_000212,q_emt_000053,D,Normal capillary refill,4,False
opt_000213,q_emt_000054,A,Finish the narrative,1,False
opt_000214,q_emt_000054,B,Call the supervisor first,2,False
opt_000215,q_emt_000054,C,Ignore changes if destination is close,3,False
opt_000216,q_emt_000054,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000217,q_emt_000055,A,Trend in vitals and response to treatment,1,True
opt_000218,q_emt_000055,B,Your lunch status,2,False
opt_000219,q_emt_000055,C,Unverified bystander rumor,3,False
opt_000220,q_emt_000055,D,Exact brand of stretcher,4,False
opt_000221,q_emt_000056,A,Airway compromise,1,True
opt_000222,q_emt_000056,B,Mild anxiety,2,False
opt_000223,q_emt_000056,C,Normal skin color,3,False
opt_000224,q_emt_000056,D,Stable vital signs,4,False
opt_000225,q_emt_000057,A,Ask a detailed medication history,1,False
opt_000226,q_emt_000057,B,Perform a primary assessment and correct life threats,2,True
opt_000227,q_emt_000057,C,Complete the refusal form,3,False
opt_000228,q_emt_000057,D,Wait for ALS before touching the patient,4,False
opt_000229,q_emt_000058,A,Hypotension,1,True
opt_000230,q_emt_000058,B,Mild isolated nausea,2,False
opt_000231,q_emt_000058,C,Altered mental status,3,True
opt_000232,q_emt_000058,D,Normal capillary refill,4,False
opt_000233,q_emt_000059,A,Finish the narrative,1,False
opt_000234,q_emt_000059,B,Call the supervisor first,2,False
opt_000235,q_emt_000059,C,Ignore changes if destination is close,3,False
opt_000236,q_emt_000059,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000237,q_emt_000060,A,Trend in vitals and response to treatment,1,True
opt_000238,q_emt_000060,B,Your lunch status,2,False
opt_000239,q_emt_000060,C,Unverified bystander rumor,3,False
opt_000240,q_emt_000060,D,Exact brand of stretcher,4,False
opt_000241,q_emt_000061,A,Airway compromise,1,True
opt_000242,q_emt_000061,B,Mild anxiety,2,False
opt_000243,q_emt_000061,C,Normal skin color,3,False
opt_000244,q_emt_000061,D,Stable vital signs,4,False
opt_000245,q_emt_000062,A,Ask a detailed medication history,1,False
opt_000246,q_emt_000062,B,Perform a primary assessment and correct life threats,2,True
opt_000247,q_emt_000062,C,Complete the refusal form,3,False
opt_000248,q_emt_000062,D,Wait for ALS before touching the patient,4,False
opt_000249,q_emt_000063,A,Hypotension,1,True
opt_000250,q_emt_000063,B,Mild isolated nausea,2,False
opt_000251,q_emt_000063,C,Altered mental status,3,True
opt_000252,q_emt_000063,D,Normal capillary refill,4,False
opt_000253,q_emt_000064,A,Finish the narrative,1,False
opt_000254,q_emt_000064,B,Call the supervisor first,2,False
opt_000255,q_emt_000064,C,Ignore changes if destination is close,3,False
opt_000256,q_emt_000064,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000257,q_emt_000065,A,Trend in vitals and response to treatment,1,True
opt_000258,q_emt_000065,B,Your lunch status,2,False
opt_000259,q_emt_000065,C,Unverified bystander rumor,3,False
opt_000260,q_emt_000065,D,Exact brand of stretcher,4,False
opt_000261,q_emt_000066,A,Airway compromise,1,True
opt_000262,q_emt_000066,B,Mild anxiety,2,False
opt_000263,q_emt_000066,C,Normal skin color,3,False
opt_000264,q_emt_000066,D,Stable vital signs,4,False
opt_000265,q_emt_000067,A,Ask a detailed medication history,1,False
opt_000266,q_emt_000067,B,Perform a primary assessment and correct life threats,2,True
opt_000267,q_emt_000067,C,Complete the refusal form,3,False
opt_000268,q_emt_000067,D,Wait for ALS before touching the patient,4,False
opt_000269,q_emt_000068,A,Hypotension,1,True
opt_000270,q_emt_000068,B,Mild isolated nausea,2,False
opt_000271,q_emt_000068,C,Altered mental status,3,True
opt_000272,q_emt_000068,D,Normal capillary refill,4,False
opt_000273,q_emt_000069,A,Finish the narrative,1,False
opt_000274,q_emt_000069,B,Call the supervisor first,2,False
opt_000275,q_emt_000069,C,Ignore changes if destination is close,3,False
opt_000276,q_emt_000069,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000277,q_emt_000070,A,Trend in vitals and response to treatment,1,True
opt_000278,q_emt_000070,B,Your lunch status,2,False
opt_000279,q_emt_000070,C,Unverified bystander rumor,3,False
opt_000280,q_emt_000070,D,Exact brand of stretcher,4,False
opt_000281,q_emt_000071,A,Airway compromise,1,True
opt_000282,q_emt_000071,B,Mild anxiety,2,False
opt_000283,q_emt_000071,C,Normal skin color,3,False
opt_000284,q_emt_000071,D,Stable vital signs,4,False
opt_000285,q_emt_000072,A,Ask a detailed medication history,1,False
opt_000286,q_emt_000072,B,Perform a primary assessment and correct life threats,2,True
opt_000287,q_emt_000072,C,Complete the refusal form,3,False
opt_000288,q_emt_000072,D,Wait for ALS before touching the patient,4,False
opt_000289,q_emt_000073,A,Hypotension,1,True
opt_000290,q_emt_000073,B,Mild isolated nausea,2,False
opt_000291,q_emt_000073,C,Altered mental status,3,True
opt_000292,q_emt_000073,D,Normal capillary refill,4,False
opt_000293,q_emt_000074,A,Finish the narrative,1,False
opt_000294,q_emt_000074,B,Call the supervisor first,2,False
opt_000295,q_emt_000074,C,Ignore changes if destination is close,3,False
opt_000296,q_emt_000074,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000297,q_emt_000075,A,Trend in vitals and response to treatment,1,True
opt_000298,q_emt_000075,B,Your lunch status,2,False
opt_000299,q_emt_000075,C,Unverified bystander rumor,3,False
opt_000300,q_emt_000075,D,Exact brand of stretcher,4,False
opt_000301,q_emt_000076,A,Airway compromise,1,True
opt_000302,q_emt_000076,B,Mild anxiety,2,False
opt_000303,q_emt_000076,C,Normal skin color,3,False
opt_000304,q_emt_000076,D,Stable vital signs,4,False
opt_000305,q_emt_000077,A,Ask a detailed medication history,1,False
opt_000306,q_emt_000077,B,Perform a primary assessment and correct life threats,2,True
opt_000307,q_emt_000077,C,Complete the refusal form,3,False
opt_000308,q_emt_000077,D,Wait for ALS before touching the patient,4,False
opt_000309,q_emt_000078,A,Hypotension,1,True
opt_000310,q_emt_000078,B,Mild isolated nausea,2,False
opt_000311,q_emt_000078,C,Altered mental status,3,True
opt_000312,q_emt_000078,D,Normal capillary refill,4,False
opt_000313,q_emt_000079,A,Finish the narrative,1,False
opt_000314,q_emt_000079,B,Call the supervisor first,2,False
opt_000315,q_emt_000079,C,Ignore changes if destination is close,3,False
opt_000316,q_emt_000079,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000317,q_emt_000080,A,Trend in vitals and response to treatment,1,True
opt_000318,q_emt_000080,B,Your lunch status,2,False
opt_000319,q_emt_000080,C,Unverified bystander rumor,3,False
opt_000320,q_emt_000080,D,Exact brand of stretcher,4,False
opt_000321,q_emt_000081,A,Airway compromise,1,True
opt_000322,q_emt_000081,B,Mild anxiety,2,False
opt_000323,q_emt_000081,C,Normal skin color,3,False
opt_000324,q_emt_000081,D,Stable vital signs,4,False
opt_000325,q_emt_000082,A,Ask a detailed medication history,1,False
opt_000326,q_emt_000082,B,Perform a primary assessment and correct life threats,2,True
opt_000327,q_emt_000082,C,Complete the refusal form,3,False
opt_000328,q_emt_000082,D,Wait for ALS before touching the patient,4,False
opt_000329,q_emt_000083,A,Hypotension,1,True
opt_000330,q_emt_000083,B,Mild isolated nausea,2,False
opt_000331,q_emt_000083,C,Altered mental status,3,True
opt_000332,q_emt_000083,D,Normal capillary refill,4,False
opt_000333,q_emt_000084,A,Finish the narrative,1,False
opt_000334,q_emt_000084,B,Call the supervisor first,2,False
opt_000335,q_emt_000084,C,Ignore changes if destination is close,3,False
opt_000336,q_emt_000084,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000337,q_emt_000085,A,Trend in vitals and response to treatment,1,True
opt_000338,q_emt_000085,B,Your lunch status,2,False
opt_000339,q_emt_000085,C,Unverified bystander rumor,3,False
opt_000340,q_emt_000085,D,Exact brand of stretcher,4,False
opt_000341,q_emt_000086,A,Airway compromise,1,True
opt_000342,q_emt_000086,B,Mild anxiety,2,False
opt_000343,q_emt_000086,C,Normal skin color,3,False
opt_000344,q_emt_000086,D,Stable vital signs,4,False
opt_000345,q_emt_000087,A,Ask a detailed medication history,1,False
opt_000346,q_emt_000087,B,Perform a primary assessment and correct life threats,2,True
opt_000347,q_emt_000087,C,Complete the refusal form,3,False
opt_000348,q_emt_000087,D,Wait for ALS before touching the patient,4,False
opt_000349,q_emt_000088,A,Hypotension,1,True
opt_000350,q_emt_000088,B,Mild isolated nausea,2,False
opt_000351,q_emt_000088,C,Altered mental status,3,True
opt_000352,q_emt_000088,D,Normal capillary refill,4,False
opt_000353,q_emt_000089,A,Finish the narrative,1,False
opt_000354,q_emt_000089,B,Call the supervisor first,2,False
opt_000355,q_emt_000089,C,Ignore changes if destination is close,3,False
opt_000356,q_emt_000089,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000357,q_emt_000090,A,Trend in vitals and response to treatment,1,True
opt_000358,q_emt_000090,B,Your lunch status,2,False
opt_000359,q_emt_000090,C,Unverified bystander rumor,3,False
opt_000360,q_emt_000090,D,Exact brand of stretcher,4,False
opt_000361,q_emt_000091,A,Airway compromise,1,True
opt_000362,q_emt_000091,B,Mild anxiety,2,False
opt_000363,q_emt_000091,C,Normal skin color,3,False
opt_000364,q_emt_000091,D,Stable vital signs,4,False
opt_000365,q_emt_000092,A,Ask a detailed medication history,1,False
opt_000366,q_emt_000092,B,Perform a primary assessment and correct life threats,2,True
opt_000367,q_emt_000092,C,Complete the refusal form,3,False
opt_000368,q_emt_000092,D,Wait for ALS before touching the patient,4,False
opt_000369,q_emt_000093,A,Hypotension,1,True
opt_000370,q_emt_000093,B,Mild isolated nausea,2,False
opt_000371,q_emt_000093,C,Altered mental status,3,True
opt_000372,q_emt_000093,D,Normal capillary refill,4,False
opt_000373,q_emt_000094,A,Finish the narrative,1,False
opt_000374,q_emt_000094,B,Call the supervisor first,2,False
opt_000375,q_emt_000094,C,Ignore changes if destination is close,3,False
opt_000376,q_emt_000094,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000377,q_emt_000095,A,Trend in vitals and response to treatment,1,True
opt_000378,q_emt_000095,B,Your lunch status,2,False
opt_000379,q_emt_000095,C,Unverified bystander rumor,3,False
opt_000380,q_emt_000095,D,Exact brand of stretcher,4,False
opt_000381,q_emt_000096,A,Airway compromise,1,True
opt_000382,q_emt_000096,B,Mild anxiety,2,False
opt_000383,q_emt_000096,C,Normal skin color,3,False
opt_000384,q_emt_000096,D,Stable vital signs,4,False
opt_000385,q_emt_000097,A,Ask a detailed medication history,1,False
opt_000386,q_emt_000097,B,Perform a primary assessment and correct life threats,2,True
opt_000387,q_emt_000097,C,Complete the refusal form,3,False
opt_000388,q_emt_000097,D,Wait for ALS before touching the patient,4,False
opt_000389,q_emt_000098,A,Hypotension,1,True
opt_000390,q_emt_000098,B,Mild isolated nausea,2,False
opt_000391,q_emt_000098,C,Altered mental status,3,True
opt_000392,q_emt_000098,D,Normal capillary refill,4,False
opt_000393,q_emt_000099,A,Finish the narrative,1,False
opt_000394,q_emt_000099,B,Call the supervisor first,2,False
opt_000395,q_emt_000099,C,Ignore changes if destination is close,3,False
opt_000396,q_emt_000099,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000397,q_emt_000100,A,Trend in vitals and response to treatment,1,True
opt_000398,q_emt_000100,B,Your lunch status,2,False
opt_000399,q_emt_000100,C,Unverified bystander rumor,3,False
opt_000400,q_emt_000100,D,Exact brand of stretcher,4,False
opt_000401,q_emt_000101,A,Airway compromise,1,True
opt_000402,q_emt_000101,B,Mild anxiety,2,False
opt_000403,q_emt_000101,C,Normal skin color,3,False
opt_000404,q_emt_000101,D,Stable vital signs,4,False
opt_000405,q_emt_000102,A,Ask a detailed medication history,1,False
opt_000406,q_emt_000102,B,Perform a primary assessment and correct life threats,2,True
opt_000407,q_emt_000102,C,Complete the refusal form,3,False
opt_000408,q_emt_000102,D,Wait for ALS before touching the patient,4,False
opt_000409,q_emt_000103,A,Hypotension,1,True
opt_000410,q_emt_000103,B,Mild isolated nausea,2,False
opt_000411,q_emt_000103,C,Altered mental status,3,True
opt_000412,q_emt_000103,D,Normal capillary refill,4,False
opt_000413,q_emt_000104,A,Finish the narrative,1,False
opt_000414,q_emt_000104,B,Call the supervisor first,2,False
opt_000415,q_emt_000104,C,Ignore changes if destination is close,3,False
opt_000416,q_emt_000104,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000417,q_emt_000105,A,Trend in vitals and response to treatment,1,True
opt_000418,q_emt_000105,B,Your lunch status,2,False
opt_000419,q_emt_000105,C,Unverified bystander rumor,3,False
opt_000420,q_emt_000105,D,Exact brand of stretcher,4,False
opt_000421,q_emt_000106,A,Airway compromise,1,True
opt_000422,q_emt_000106,B,Mild anxiety,2,False
opt_000423,q_emt_000106,C,Normal skin color,3,False
opt_000424,q_emt_000106,D,Stable vital signs,4,False
opt_000425,q_emt_000107,A,Ask a detailed medication history,1,False
opt_000426,q_emt_000107,B,Perform a primary assessment and correct life threats,2,True
opt_000427,q_emt_000107,C,Complete the refusal form,3,False
opt_000428,q_emt_000107,D,Wait for ALS before touching the patient,4,False
opt_000429,q_emt_000108,A,Hypotension,1,True
opt_000430,q_emt_000108,B,Mild isolated nausea,2,False
opt_000431,q_emt_000108,C,Altered mental status,3,True
opt_000432,q_emt_000108,D,Normal capillary refill,4,False
opt_000433,q_emt_000109,A,Finish the narrative,1,False
opt_000434,q_emt_000109,B,Call the supervisor first,2,False
opt_000435,q_emt_000109,C,Ignore changes if destination is close,3,False
opt_000436,q_emt_000109,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000437,q_emt_000110,A,Trend in vitals and response to treatment,1,True
opt_000438,q_emt_000110,B,Your lunch status,2,False
opt_000439,q_emt_000110,C,Unverified bystander rumor,3,False
opt_000440,q_emt_000110,D,Exact brand of stretcher,4,False
opt_000441,q_emt_000111,A,Airway compromise,1,True
opt_000442,q_emt_000111,B,Mild anxiety,2,False
opt_000443,q_emt_000111,C,Normal skin color,3,False
opt_000444,q_emt_000111,D,Stable vital signs,4,False
opt_000445,q_emt_000112,A,Ask a detailed medication history,1,False
opt_000446,q_emt_000112,B,Perform a primary assessment and correct life threats,2,True
opt_000447,q_emt_000112,C,Complete the refusal form,3,False
opt_000448,q_emt_000112,D,Wait for ALS before touching the patient,4,False
opt_000449,q_emt_000113,A,Hypotension,1,True
opt_000450,q_emt_000113,B,Mild isolated nausea,2,False
opt_000451,q_emt_000113,C,Altered mental status,3,True
opt_000452,q_emt_000113,D,Normal capillary refill,4,False
opt_000453,q_emt_000114,A,Finish the narrative,1,False
opt_000454,q_emt_000114,B,Call the supervisor first,2,False
opt_000455,q_emt_000114,C,Ignore changes if destination is close,3,False
opt_000456,q_emt_000114,D,"Reassess ABCs, treat immediate threats, and update the hospital",4,True
opt_000457,q_emt_000115,A,Trend in vitals and response to treatment,1,True
opt_000458,q_emt_000115,B,Your lunch status,2,False
