question_id,taxonomy_id,level,scenario_id_nullable,ecg_id_nullable,item_type,difficulty_1_to_5,cognitive_level,stem,answer_format,correct_answer_key,common_trap,remediation_rule_id_nullable,national_vs_local_flag,verification_status
q_emt_000019,,emt,scn_emt_000058,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Shockable Rhythms. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000020,core,draft
q_emt_000020,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Ecg Basics. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000001,core,draft
q_emt_000021,,emt,scn_emt_000064,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Twelve Lead. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000002,core,draft
q_emt_000022,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Stemi Recognition. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000003,core,draft
q_emt_000023,,emt,scn_aemt_000070,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Post Rosc. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000004,core,draft
q_emt_000024,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Bleeding Control. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000005,core,draft
q_emt_000025,,emt,scn_aemt_000076,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Shock Trauma. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000006,core,draft
q_emt_000026,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Head Injury. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000007,core,draft
q_emt_000027,,emt,scn_aemt_000082,,single_best_answer,2,application,"What is the best next action? Topic focus: Spinal Motion. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000008,core,draft
q_emt_000028,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Chest Trauma. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000009,core,draft
q_emt_000029,,emt,scn_aemt_000088,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Abdominal Trauma. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000010,core,draft
q_emt_000030,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Pelvic Injury. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000011,core,draft
q_emt_000031,,emt,scn_aemt_000094,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Extremity Injury. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000012,core,draft
q_emt_000032,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Burns. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000013,core,draft
q_emt_000033,,emt,scn_aemt_000100,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Crush Injury. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000014,core,draft
q_emt_000034,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Trauma Triage. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000015,core,draft
q_emt_000035,,emt,scn_aemt_000106,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Special Trauma. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000016,core,draft
q_emt_000036,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Altered Mental Status. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000017,core,draft
q_emt_000037,,emt,scn_aemt_000112,,single_best_answer,2,application,"What is the best next action? Topic focus: Stroke. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000018,core,draft
q_emt_000038,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Seizure. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000019,core,draft
q_emt_000039,,emt,scn_aemt_000118,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Diabetes. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000020,core,draft
q_emt_000040,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Toxicology. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000001,core,draft
q_emt_000041,,emt,scn_paramedic_000124,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Sepsis. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000002,core,draft
q_emt_000042,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Abdominal Pain. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000003,core,draft
q_emt_000043,,emt,scn_paramedic_000130,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Renal. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000004,core,draft
q_emt_000044,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Behavioral Crisis. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000005,core,draft
q_emt_000045,,emt,scn_paramedic_000136,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Ob Delivery. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000006,core,draft
q_emt_000046,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Neonatal Resuscitation. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000007,core,draft
q_emt_000047,,emt,scn_paramedic_000142,,single_best_answer,2,application,"What is the best next action? Topic focus: Pediatrics. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000008,core,draft
q_emt_000048,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Geriatrics. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000009,core,draft
q_emt_000049,,emt,scn_paramedic_000148,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Allergy Anaphylaxis. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000010,core,draft
q_emt_000050,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Scene Safety. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000011,core,draft
q_emt_000051,,emt,scn_paramedic_000154,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Ppe Infection Control. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000012,core,draft
q_emt_000052,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Hazmat Awareness. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000013,core,draft
q_emt_000053,,emt,scn_paramedic_000160,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Mci Triage. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000014,core,draft
q_emt_000054,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Radio Report. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000015,core,draft
q_emt_000055,,emt,scn_paramedic_000166,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Documentation. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000016,core,draft
q_emt_000056,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Legal Consent. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000017,core,draft
q_emt_000057,,emt,scn_paramedic_000172,,single_best_answer,2,application,"What is the best next action? Topic focus: Refusal. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000018,core,draft
q_emt_000058,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Interfacility. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000019,core,draft
q_emt_000059,,emt,scn_paramedic_000178,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Wellness Resilience. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000020,core,draft
q_emt_000060,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Ambulance Ops. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000001,core,draft
q_emt_000061,,emt,scn_paramedic_000184,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Quality Improvement. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000002,core,draft
q_emt_000062,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Anatomy Physiology. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000003,core,draft
q_emt_000063,,emt,scn_emt_000003,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Medical Terminology. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000004,core,draft
q_emt_000064,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Pathophysiology. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000005,core,draft
q_emt_000065,,emt,scn_emt_000009,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Pharmacology Basics. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000006,core,draft
q_emt_000066,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Medication Math. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000007,core,draft
q_emt_000067,,emt,scn_emt_000015,,single_best_answer,2,application,"What is the best next action? Topic focus: Ecg Fundamentals. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000008,core,draft
q_emt_000068,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Vital Signs. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000009,core,draft
q_emt_000069,,emt,scn_emt_000021,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Assessment Frameworks. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000010,core,draft
q_emt_000070,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Communication. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000011,core,draft
q_emt_000071,,emt,scn_emt_000027,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Ethics. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000012,core,draft
q_emt_000072,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Airway Anatomy. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000013,core,draft
q_emt_000073,,emt,scn_emt_000033,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Airway Assessment. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000014,core,draft
q_emt_000074,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Oxygen Delivery. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000015,core,draft
q_emt_000075,,emt,scn_emt_000039,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Bvm Ventilation. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000016,core,draft
q_emt_000076,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Suctioning. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000017,core,draft
q_emt_000077,,emt,scn_emt_000045,,single_best_answer,2,application,"What is the best next action? Topic focus: Adjuncts. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000018,core,draft
q_emt_000078,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Cpap. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000019,core,draft
q_emt_000079,,emt,scn_emt_000051,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Respiratory Distress. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000020,core,draft
q_emt_000080,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Asthma Copd. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000001,core,draft
q_emt_000081,,emt,scn_emt_000057,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Pulmonary Edema. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000002,core,draft
q_emt_000082,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Anaphylaxis Airway. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000003,core,draft
q_emt_000083,,emt,scn_emt_000063,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Ventilation Monitoring. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000004,core,draft
q_emt_000084,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Cardiac Anatomy. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000005,core,draft
q_emt_000085,,emt,scn_aemt_000069,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Chest Pain. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000006,core,draft
q_emt_000086,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Acs. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000007,core,draft
q_emt_000087,,emt,scn_aemt_000075,,single_best_answer,2,application,"What is the best next action? Topic focus: Heart Failure. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000008,core,draft
q_emt_000088,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Cardiac Arrest. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000009,core,draft
q_emt_000089,,emt,scn_aemt_000081,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Bradycardia. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000010,core,draft
q_emt_000090,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Tachycardia. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000011,core,draft
q_emt_000091,,emt,scn_aemt_000087,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Shockable Rhythms. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000012,core,draft
q_emt_000092,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Ecg Basics. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000013,core,draft
q_emt_000093,,emt,scn_aemt_000093,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Twelve Lead. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000014,core,draft
q_emt_000094,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Stemi Recognition. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000015,core,draft
q_emt_000095,,emt,scn_aemt_000099,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Post Rosc. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000016,core,draft
q_emt_000096,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Bleeding Control. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000017,core,draft
q_emt_000097,,emt,scn_aemt_000105,,single_best_answer,2,application,"What is the best next action? Topic focus: Shock Trauma. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000018,core,draft
q_emt_000098,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Head Injury. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000019,core,draft
q_emt_000099,,emt,scn_aemt_000111,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Spinal Motion. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000020,core,draft
q_emt_000100,,emt,,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Chest Trauma. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000001,core,draft
q_emt_000101,,emt,scn_aemt_000117,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Abdominal Trauma. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000002,core,draft
q_emt_000102,,emt,,,single_best_answer,2,application,"What is the best next action? Topic focus: Pelvic Injury. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000003,core,draft
q_emt_000103,,emt,scn_paramedic_000123,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Extremity Injury. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000004,core,draft
q_emt_000104,,emt,,,clinical_judgment,4,judgment,"The patient worsens during transport. What should you prioritize? Topic focus: Burns. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,D,Prioritization trap: treating an isolated detail instead of the patient.,rem_000005,core,draft
q_emt_000105,,emt,scn_paramedic_000129,,scenario_cluster,5,analysis,"Which handoff detail is most important to include? Topic focus: Crush Injury. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000006,core,draft
q_emt_000106,,emt,,,single_best_answer,1,recall,"Which finding is most concerning in this patient? Topic focus: Trauma Triage. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,A,Prioritization trap: treating an isolated detail instead of the patient.,rem_000007,core,draft
q_emt_000107,,emt,scn_paramedic_000135,,single_best_answer,2,application,"What is the best next action? Topic focus: Special Trauma. Level: EMT. This is an original NREMT-style study item, not an exam item.",choose_best,B,Prioritization trap: treating an isolated detail instead of the patient.,rem_000008,core,draft
q_emt_000108,,emt,,,multiple_response,3,analysis,"Select the findings that would increase acuity. Topic focus: Altered Mental Status. Level: EMT. This is an original NREMT-style study item, not an exam item.",structured,"A,C",Prioritization trap: treating an isolated detail instead of the patient.,rem_000009,core,draft
